text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs
Vincent clean some college campus.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 3.123046875, 'PREP': -1.8251953125, 'DET': -5.9921875, 'SVA': 1.884765625}"
The brothers of David implores Wendy to conceal Theodore.,SVA,distractor_agreement_relational_noun,G,"{'G': 4.9375, 'PREP': -2.5703125, 'DET': -4.87109375, 'SVA': -1.3212890625}"
The dancer forfeit.,SVA,regular_plural_subject_verb_agreement_2,G,"{'G': 3.138671875, 'PREP': -2.23046875, 'DET': -5.38671875, 'SVA': 1.8994140625}"
A lot of alumni bother some hospital.,SVA,irregular_plural_subject_verb_agreement_1,G,"{'G': 5.09375, 'PREP': -2.42578125, 'DET': -4.36328125, 'SVA': -2.1953125}"
Women hasn't worried.,SVA,irregular_plural_subject_verb_agreement_1,G,"{'G': 5.09765625, 'PREP': -2.4765625, 'DET': -4.51171875, 'SVA': -2.04296875}"
The oases hurts this doctor.,SVA,irregular_plural_subject_verb_agreement_2,G,"{'G': 3.017578125, 'PREP': -3.171875, 'DET': -4.2109375, 'SVA': 2.03515625}"
A lot of doctors scans a lot of movies.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 3.55078125, 'PREP': -3.0234375, 'DET': -4.45703125, 'SVA': 1.1748046875}"
Children who would reference this driver advises Karen's daughters to hate these essays.,SVA,distractor_agreement_relative_clause,G,"{'G': 4.25390625, 'PREP': -2.5703125, 'DET': -2.123046875, 'SVA': -2.4765625}"
Governments that praise Melissa commissions the daughters of this senator to blink.,SVA,distractor_agreement_relative_clause,G,"{'G': 4.8046875, 'PREP': -2.5703125, 'DET': -4.99609375, 'SVA': -1.0068359375}"
Some waitress that isn't listening to these customers prevent those photographs from wasting away.,SVA,distractor_agreement_relative_clause,G,"{'G': 5.04296875, 'PREP': -2.369140625, 'DET': -5.203125, 'SVA': -1.46875}"
Keith hug these senators.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 3.298828125, 'PREP': -2.9296875, 'DET': -4.390625, 'SVA': 1.375}"
Paul clean those pictures.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.609375, 'PREP': -2.703125, 'DET': -4.48046875, 'SVA': -1.0322265625}"
Schools criticizes these glaciers.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.87890625, 'PREP': -2.69921875, 'DET': -4.42578125, 'SVA': -1.5078125}"
This cashier who admires the Borgias spin around.,SVA,distractor_agreement_relative_clause,G,"{'G': 3.52734375, 'PREP': -2.8046875, 'DET': -4.859375, 'SVA': 1.376953125}"
Girls examines most newspaper articles.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.37890625, 'PREP': -2.876953125, 'DET': -4.53125, 'SVA': -0.310791015625}"
The son of most customers haven't thought Jacqueline isn't biking to these cafes.,SVA,distractor_agreement_relational_noun,G,"{'G': 4.4453125, 'PREP': -2.6171875, 'DET': -5.3359375, 'SVA': -0.07098388671875}"
Most waitresses who concealed Laura spurs Martin to aggravate Kevin.,SVA,distractor_agreement_relative_clause,G,"{'G': 4.7578125, 'PREP': -2.58984375, 'DET': -5.140625, 'SVA': -0.76025390625}"
Libraries that appreciated Danielle talks about Jason.,SVA,distractor_agreement_relative_clause,G,"{'G': 5.04296875, 'PREP': -2.525390625, 'DET': -4.72265625, 'SVA': -1.7060546875}"
A picture of those mouths irritate some organizations.,SVA,distractor_agreement_relational_noun,G,"{'G': 4.83984375, 'PREP': -2.671875, 'DET': -4.20703125, 'SVA': -1.642578125}"
Senators listens to Janet.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.95703125, 'PREP': -2.58984375, 'DET': -4.78125, 'SVA': -1.4208984375}"
Current events scares Harvard University.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 2.935546875, 'PREP': -2.90234375, 'DET': -4.734375, 'SVA': 2.42578125}"
That government that had fired the men urge Homer's French teachers to fire Melinda.,SVA,distractor_agreement_relative_clause,G,"{'G': 5.0390625, 'PREP': -2.48828125, 'DET': -4.66796875, 'SVA': -1.765625}"
The cashier drop by these museums.,SVA,regular_plural_subject_verb_agreement_2,G,"{'G': 5.0234375, 'PREP': -2.421875, 'DET': -4.96484375, 'SVA': -1.6015625}"
Most teachers drops by some mountains.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 3.388671875, 'PREP': -2.783203125, 'DET': -5.1796875, 'SVA': 1.8515625}"
Stimuli was astounding Katherine.,SVA,irregular_plural_subject_verb_agreement_1,G,"{'G': 5.03125, 'PREP': -2.53125, 'DET': -4.65625, 'SVA': -1.701171875}"
Every cashier who wasn't visiting those senators salute.,SVA,distractor_agreement_relative_clause,G,"{'G': 4.578125, 'PREP': -2.62890625, 'DET': -5.07421875, 'SVA': -0.50439453125}"
The shows about art alarms Chad.,SVA,distractor_agreement_relational_noun,G,"{'G': 4.8125, 'PREP': -2.693359375, 'DET': -4.70703125, 'SVA': -1.1337890625}"
The cousins of William whispers.,SVA,distractor_agreement_relational_noun,G,"{'G': 3.751953125, 'PREP': -2.923828125, 'DET': -4.84765625, 'SVA': 1.09765625}"
A lot of actors that are concealing Wendy neglects to reply.,SVA,distractor_agreement_relative_clause,G,"{'G': 3.0859375, 'PREP': -3.09765625, 'DET': -4.28515625, 'SVA': 1.8681640625}"
Suzanne dislike these dancers.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 5.14453125, 'PREP': -2.408203125, 'DET': -4.64453125, 'SVA': -2.0859375}"
Some lady that leaves the Lutherans blink.,SVA,distractor_agreement_relative_clause,G,"{'G': 4.90234375, 'PREP': -2.625, 'DET': -4.58984375, 'SVA': -1.4248046875}"
Benjamin reference Donald.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.6171875, 'PREP': -2.708984375, 'DET': -4.50390625, 'SVA': -0.9501953125}"
Some ellipsis upset Heidi.,SVA,irregular_plural_subject_verb_agreement_1,G,"{'G': 4.921875, 'PREP': -2.48828125, 'DET': -5.09765625, 'SVA': -1.2158203125}"
Spain alarm Connie.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 3.576171875, 'PREP': -2.873046875, 'DET': -4.6640625, 'SVA': 1.193359375}"
Most pedestrians who thought about Amelia exercises.,SVA,distractor_agreement_relative_clause,G,"{'G': 4.53515625, 'PREP': -2.701171875, 'DET': -4.99609375, 'SVA': -0.366455078125}"
The organization that has shocked these ladies motivate Katherine to forfeit.,SVA,distractor_agreement_relative_clause,G,"{'G': 3.12890625, 'PREP': -2.515625, 'DET': -5.453125, 'SVA': 2.181640625}"
The shawls warps.,SVA,regular_plural_subject_verb_agreement_2,G,"{'G': 5.11328125, 'PREP': -2.41796875, 'DET': -4.8359375, 'SVA': -1.845703125}"
Organizations works with Tammy.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 5.12890625, 'PREP': -2.4453125, 'DET': -4.70703125, 'SVA': -1.947265625}"
The patient grin.,SVA,regular_plural_subject_verb_agreement_2,G,"{'G': 2.751953125, 'PREP': -2.853515625, 'DET': -4.515625, 'SVA': 2.529296875}"
Gerald insult a lot of plays.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.3359375, 'PREP': -2.74609375, 'DET': -4.75390625, 'SVA': -0.260498046875}"
Most horses that aren't boring Elizabeth comes here.,SVA,distractor_agreement_relative_clause,G,"{'G': 3.21875, 'PREP': -2.734375, 'DET': -5.04296875, 'SVA': 1.94140625}"
The Borgias shock Elaine.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 5.078125, 'PREP': -2.431640625, 'DET': -4.96875, 'SVA': -1.6552734375}"
The girls scans that newspaper article.,SVA,regular_plural_subject_verb_agreement_2,G,"{'G': 4.2734375, 'PREP': -2.79296875, 'DET': -5.07421875, 'SVA': 0.159912109375}"
Girls breaks those trucks.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.33984375, 'PREP': -2.4375, 'DET': -2.1015625, 'SVA': -2.80078125}"
The sister of some guys don't think Stacy can't wear many pants.,SVA,distractor_agreement_relational_noun,G,"{'G': 5.11328125, 'PREP': -2.38671875, 'DET': -4.58203125, 'SVA': -2.09375}"
All stimuli bores that teacher.,SVA,irregular_plural_subject_verb_agreement_1,G,"{'G': 4.96875, 'PREP': -2.595703125, 'DET': -4.73828125, 'SVA': -1.4755859375}"
A lot of cashiers that don't complain about Heidi has fired Aaron.,SVA,distractor_agreement_relative_clause,G,"{'G': 3.333984375, 'PREP': -2.984375, 'DET': -4.70703125, 'SVA': 1.7080078125}"
Candice aren't upsetting this adult.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 5.12109375, 'PREP': -2.146484375, 'DET': -4.39453125, 'SVA': -2.546875}"
