sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,pairID
Please write to me soon.,Please write me soon.,syntax-semantics,Preposition,Preposition_Missing,True,True,False,False,,Please write,to,,606.0
Gregory has bored Omar.,Gregory have bored Omar.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,820.0,,,,
Deborah hasn't explained that she brought that mouth.,Deborah hasn't explained that herself brought that mouth.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,107.0,,,,
"About accommodation at Camp California, I would rather be in a tent than in a log cabin because in July the weather is really good and when I am in a tent I feel closer to nature.","About accommodation at Camp California, I would rather be in a tent than in a log cabin because in July the weather is really good and when I am in a tent I feel closer of nature.",syntax-semantics,Preposition,Preposition_Replacing,True,True,False,False,,"About accommodation at Camp California, I would rather be in a tent than in a log cabin because in July the weather is really good and when I am in a tent I feel closer",to,of,933.0
Nicole has cleaned those smooth hospitals.,Nicole has cleaned those smooth hospital.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,336.0,,,,
Irene shouldn't think that she was healing that waitress.,Irene shouldn't think that herself was healing that waitress.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,674.0,,,,
Every bird that might distract Todd has disgusted itself.,Every bird that might distract Todd has disgusted himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,357.0,,,,
Who was Adam's student that can describe John irritating?,Who was John irritating Adam's student that can describe?,syntax,island_effects,complex_NP_island,True,False,False,True,345.0,,,,
Daniel won't sell those white restaurants.,Daniel won't sell those white restaurant.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,309.0,,,,
The problem with this job is that you have to deal with huge numbers of people.,The problem about this job is that you have to deal with huge numbers of people.,syntax-semantics,Preposition,Preposition_Replacing,True,True,False,False,,The problem,with,about,657.0
Even this actress had also begged a lot of men to break some plates.,Even this actress had ever begged a lot of men to break some plates.,semantics,npi_licensing,npi_present_1,True,True,False,False,268.0,,,,
Patrick's teacher cleaned one restaurant and sisters of that senator cleaned a lot gray restaurant.,Patrick's teacher cleaned one rough restaurant and sisters of that senator cleaned a lot gray.,syntax,ellipsis,ellipsis_n_bar_2,True,False,False,False,478.0,,,,
Walter is admired.,Walter is blinked.,syntax,argument_structure,passive_2,True,False,False,False,343.0,,,,
Brett complains about this story.,Brett complains about this stories.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,216.0,,,,
Fathers of April buy one unicycle and Andrew's mentors buy more concealed unicycle.,Fathers of April buy one exposed unicycle and Andrew's mentors buy more concealed.,syntax,ellipsis,ellipsis_n_bar_2,True,False,False,False,610.0,,,,
Amelia won't hire these popular cashiers.,Amelia won't hire this popular cashiers.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,368.0,,,,
Some oxen weren't ascending the stairs.,Some oxen wasn't ascending the stairs.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,253.0,,,,
Every dish was there wasting away.,There was every dish wasting away.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,52.0,,,,
Pamela clearly left.,Pamela ever left.,semantics,npi_licensing,npi_present_2,True,True,False,False,388.0,,,,
A waitress thinks all shirts aren't aggravating themselves.,A waitress thinks all shirts aren't aggravating herself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,238.0,,,,
Only many senators that all customers confuse ever conceal the snakes.,Many senators that only all customers confuse ever conceal the snakes.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,590.0,,,,
Matt was criticizing that smart man.,Matt was criticizing that smart men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,60.0,,,,
It's herself who Tanya notices.,It's herself who notices Tanya.,syntax_semantics,binding,principle_A_reconstruction,True,False,False,True,360.0,,,,
A mall was skated around by some teenager.,A mall was skated around by some glasses.,syntax,s-selection,animate_subject_passive,True,True,False,False,563.0,,,,
It's herself that Naomi has irritated.,It's herself that has irritated Naomi.,syntax_semantics,binding,principle_A_reconstruction,True,False,False,True,540.0,,,,
Edward finds those nuclei.,Edward finds those nucleus.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,736.0,,,,
"She dreamed about good friends, the time that had long passed by and she dreamed of someone who she could tell her own secrets.","She dreamed about good friends, the time that had long passed by and she dreamed from someone who she could tell her own secrets.",syntax-semantics,Preposition,Preposition_Replacing,True,True,False,False,,"She dreamed about good friends, the time that had long passed by and she dreamed",of,from,2195.0
The books about art don't disgust all children.,The books about art doesn't disgust all children.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,750.0,,,,
Only Sabrina's boss that Elizabeth approached ever reveals Ronald.,Sabrina's boss that only Elizabeth approached ever reveals Ronald.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,672.0,,,,
There isn't unlikely to be an apple impressing Erin.,There isn't able to be an apple impressing Erin.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,46.0,,,,
Liam exits those white art galleries.,Liam exits that white art galleries.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,318.0,,,,
Each skirt wasn't there warping.,There wasn't each skirt warping.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,654.0,,,,
Jason is embarrassing Frank.,Jason are embarrassing Frank.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,585.0,,,,
Many actors haven't praised that lost girl.,Many actors haven't praised that lost girls.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,396.0,,,,
Each horse is there upsetting a lot of teachers.,There is each horse upsetting a lot of teachers.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,15.0,,,,
"For the two activities I can choose, I would like to play tennis : I have some experience of this sport, because I played tennis for seven years and it is still my favourite activity.","For the two activities I can choose, I would like to play tennis : I have some experience of this sport, because I played tennis during seven years and it is still my favourite activity.",syntax-semantics,Preposition,Preposition_Replacing,True,True,False,False,,"For the two activities I can choose, I would like to play tennis : I have some experience of this sport, because I played tennis",for,during,2092.0
All senators who aren't concealing James were discovering who buys that screen.,All senators who aren't concealing James is discovering who buys that screen.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,True,True,False,False,898.0,,,,
All schools talk to those actors.,All schools talk to those actor.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,180.0,,,,
A lot of dancers research a hospital.,A lot of dancers researches a hospital.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,22.0,,,,
Becca healed these lice.,Becca healed these louse.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,113.0,,,,
This book remains one of the best in American literature.,This book remains one of the best American literature.,syntax-semantics,Preposition,Preposition_Missing,True,True,False,False,,This book remains one of the best,in,,1036.0
Jill doesn't reference those clever children.,Jill doesn't reference those clever child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,756.0,,,,
Guy wears these shoes.,Guy wears this shoes.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,793.0,,,,
Has Craig ever managed to blink?,Craig has ever managed to blink.,semantics,npi_licensing,matrix_question_npi_licensor_present,True,False,True,True,886.0,,,,
Tonya's mentors will anticipate there to be a plate appearing.,Tonya's mentors will compel there to be a plate appearing.,syntax_semantics,control_raising,existential_there_object_raising,True,False,True,False,205.0,,,,
Only that actor's students who the organization had concealed ever succeeded.,That actor's students who only the organization had concealed ever succeeded.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,253.0,,,,
Dawn hasn't imagined that she could sound like Jennifer.,Dawn hasn't imagined that herself could sound like Jennifer.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,135.0,,,,
Please write to me soon. I'm waiting.,Please write me soon. I'm waiting.,syntax-semantics,Preposition,Preposition_Missing,True,True,False,False,,Please write,to,,643.0
Even this teacher can also discover Heather.,Even this teacher can ever discover Heather.,semantics,npi_licensing,npi_present_1,True,True,False,False,31.0,,,,
Sabrina is unlikely to sigh.,Sabrina is irritating to sigh.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,449.0,,,,
Stephen discovers some forks that Brian thinks about that hurt some waitress.,Stephen discovers who some forks that Brian thinks about hurt some waitress.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,995.0,,,,
These students that had criticized Jane can not ever reunite.,These students that had not criticized Jane can ever reunite.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,True,False,True,True,763.0,,,,
Candice knows some woman that Natalie hadn't insulted.,Candice knows who Natalie hadn't insulted some woman.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,804.0,,,,
The woman wasn't getting a job.,The women wasn't getting a job.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,416.0,,,,
Theodore helps that person.,Theodore helps those person.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,977.0,,,,
The books about music haven't scared Scott.,The books about music hasn't scared Scott.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,285.0,,,,
Matt notices that stimulus.,Matt notices those stimulus.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,426.0,,,,
Most doctors find these theses.,Most doctors find this theses.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,567.0,,,,
You should go to the top of the building and enjoy an amazing view.,You should go the top of the building and enjoy an amazing view.,syntax-semantics,Preposition,Preposition_Missing,True,True,False,False,,You should go,to,,1316.0
Roger thinks that Rebecca listens to him.,Roger thinks that Rebecca listens to himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,69.0,,,,
"All these exhibits are really important and exciting for us because, nowadays, fashion has a huge influence on our lifestyle and we would like to know more about it.","All these exhibits are really important and exciting for us because, nowadays, fashion has a huge influence in our lifestyle and we would like to know more about it.",syntax-semantics,Preposition,Preposition_Replacing,True,True,False,False,,"All these exhibits are really important and exciting for us because, nowadays, fashion has a huge influence",on,in,2212.0
The child isn't fixing many dishes.,The children isn't fixing many dishes.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,643.0,,,,
Douglas should upset himself.,Douglas should upset itself.,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,164.0,,,,
Candice references those women.,Candice references that women.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,833.0,,,,
Many girls find these nice men.,Many girls find this nice men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,743.0,,,,
Many grocery stores wouldn't shock these adults.,Many grocery stores wouldn't shock these adult.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,239.0,,,,
Most cars alarmed Galileo.,Most cars fall Galileo.,syntax,argument_structure,transitive,True,False,True,False,892.0,,,,
All banks resemble that picture.,All banks resemble those picture.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,807.0,,,,
Only Donald can ever litter.,Even Donald can ever litter.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,186.0,,,,
The people weren't aggravating Janice.,The person weren't aggravating Janice.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,45.0,,,,
"First, all the students and I would like to thank you for this great idea of a trip to London for three days.","At first, all the students and I would like to thank you for this great idea of a trip to London for three days.",syntax-semantics,Preposition,Preposition_Unnecessary,True,True,False,False,,,First,At first,462.0
Who had Denise sounded like after referencing most girls?,Who had Denise sounded like most girls after referencing?,syntax,island_effects,adjunct_island,True,False,False,True,739.0,,,,
I look forward to hearing from you.,I look forward to hearing you.,syntax-semantics,Preposition,Preposition_Missing,True,True,False,False,,I look forward to hearing,from,,797.0
A lot of museums reveal what some senators that hurts Nicole are going to.,A lot of museums reveal that some senators that hurts Nicole are going to.,syntax,filler_gap_dependency,wh_vs_that_with_gap_long_distance,True,False,False,False,394.0,,,,
The person isn't bringing this broccoli.,The people isn't bringing this broccoli.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,452.0,,,,
Jeffrey isn't running around this new hospital.,Jeffrey isn't running around these new hospital.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,294.0,,,,
Becca wasn't likely to hide some box.,Becca wasn't boring to hide some box.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,241.0,,,,
The houses will look like the houses of today.,The houses will look like the houses today.,syntax-semantics,Preposition,Preposition_Missing,True,True,False,False,,The houses will look like the houses,of,,640.0
A lake irritates that man.,A lake irritates those man.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,808.0,,,,
That teenager who is kissing most cashiers breaks many planes.,That teenager who is kissing most cashiers break many planes.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,True,True,False,False,992.0,,,,
Julie toured that clean movie theater.,Julie toured that clean movie theaters.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,333.0,,,,
Guy isn't considering there to be waitresses grinning.,Guy isn't entreating there to be waitresses grinning.,syntax_semantics,control_raising,existential_there_object_raising,True,False,True,False,829.0,,,,
The nieces of Florence were laughing.,The nieces of Florence was laughing.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,858.0,,,,
"After a boring play, I decided to go to the theatre restaurant, but peculiarly it was closed.","After a boring play, I decided to go the theatre restaurant, but peculiarly it was closed.",syntax-semantics,Preposition,Preposition_Missing,True,True,False,False,,"After a boring play, I decided to go",to,,848.0
Renee would notice this tooth.,Renee would notice this teeth.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,708.0,,,,
I am not so good at tennis because I began to play only two years ago.,I am not so good in tennis because I began to play only two years ago.,syntax-semantics,Preposition,Preposition_Replacing,True,True,False,False,,I am not so good,at,in,2239.0
Only a school would ever ascertain Winston Churchill to shrug.,Even a school would ever ascertain Winston Churchill to shrug.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,295.0,,,,
Mary is judging it to be good that Douglas descends every mountain.,Mary couldn't prompt it to be good that Douglas descends every mountain.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,586.0,,,,
Though it said in your advertisement the show stars Danny Brook there was a different actor on stage.,As it said in your advertisement the show stars Danny Brook there was a different actor on stage.,syntax-semantics,Preposition,Preposition_Replacing,True,True,False,False,,,Though,As,50.0
Karen was breaking those feet.,Karen was breaking that feet.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,173.0,,,,
George has alarmed these unemployed children.,George has alarmed this unemployed children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,977.0,,,,
"I've recently started classes so all the rules were given to us, as you know, on the first day.","I've recently started classes so all the rules were given to us, as you know, the first day.",syntax-semantics,Preposition,Preposition_Missing,True,True,False,False,,"I've recently started classes so all the rules were given to us, as you know,",on,,788.0
The parentheses haven't irritated Grace.,The parenthesis haven't irritated Grace.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,914.0,,,,
Tanya forgets all actors that Angela loved that weren't embarrassing some guys.,Tanya forgets who all actors that Angela loved weren't embarrassing some guys.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,342.0,,,,
Derek has run around high schools.,Derek have run around high schools.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,757.0,,,,
Ann knew Florence.,Ann known Florence.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,833.0,,,,
Kristin's electrician who could reveal many rivers has not ever motivated Janet to sit down.,Kristin's electrician who could not reveal many rivers has ever motivated Janet to sit down.,syntax_semantics,npi_licensing,sentential_negation_npi_scope,True,False,True,True,426.0,,,,
A book about current events impresses Becky.,A book about current events impress Becky.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,706.0,,,,
Only Dan's mothers that a lot of senators care for ever hide the pasta.,Dan's mothers that only a lot of senators care for ever hide the pasta.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,550.0,,,,
Natalie remembered what the driver wasn't concealing.,Natalie remembered that the driver wasn't concealing.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,550.0,,,,
The museum cooperates.,The museums cooperates.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,709.0,,,,
What hamsters might Christopher cure and Meredith discover?,What might Christopher cure hamsters and Meredith discover?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,True,False,True,True,187.0,,,,
The alumnus was complaining about Frank.,The alumni was complaining about Frank.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,748.0,,,,
Those theses haven't convinced Wayne to notice Aaron.,Those theses hasn't convinced Wayne to notice Aaron.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,802.0,,,,
This teacher who can't take scarves is embarrassing Leslie.,This teacher who can't take scarves were embarrassing Leslie.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,True,True,False,False,621.0,,,,
Peter had known these big men.,Peter had known these big man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,475.0,,,,
Mitchell's granddaughters haven't found it to be not so clear that Caroline discovers Sally to research politics.,Mitchell's granddaughters do beg it to be not so clear that Caroline discovers Sally to research politics.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,507.0,,,,
Most drivers discover these people.,Most drivers discover these person.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,276.0,,,,
The senator can return to at most eight restaurants.,No senator can return to at most eight restaurants.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,607.0,,,,
Steven hugs these standing men.,Steven hugs this standing men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,531.0,,,,
Write to me soon.,Write me soon.,syntax-semantics,Preposition,Preposition_Missing,True,True,False,False,,Write,to,,483.0
"By the way, do you want to hear about my experience of the pop concert?","By the way, do you want to hear my experience of the pop concert?",syntax-semantics,Preposition,Preposition_Missing,True,True,False,False,,"By the way, do you want to hear",about,,244.0
Victoria approached this serious man.,Victoria approached this serious men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,828.0,,,,
Every customer shouldn't clean this mouse.,Every customer shouldn't clean this mice.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,608.0,,,,
Kristin is discussing those people.,Kristin is discussing that people.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,172.0,,,,
The actors compromise.,The actor compromise.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,523.0,,,,
All organizations think about themselves arguing about Monica.,All organizations think about themselves argued about Monica.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,212.0,,,,
"After this introduction, it will be time to show some of the activities everyone can do at the school, such as lessons or others like the library, our protagonist having a coffee with some colleagues in the cafe bar, the reception service.","After this introduction, it will be time to show some of the activities everyone can do in the school, such as lessons or others like the library, our protagonist having a coffee with some colleagues in the cafe bar, the reception service.",syntax-semantics,Preposition,Preposition_Replacing,True,True,False,False,,"After this introduction, it will be time to show some of the activities everyone can do",at,in,1274.0
Carmen isn't boycotting the libraries.,Carmen weren't boycotting the libraries.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,904.0,,,,
Laura has attacked this teenager.,Laura has attacked this teenagers.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,376.0,,,,
Steven irritated this unconvinced woman.,Steven irritated these unconvinced woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,67.0,,,,
Many boys appreciate these diagnoses.,Many boys appreciate these diagnosis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,726.0,,,,
No doctor has walked through fewer than ten lakes.,No doctor has walked through at most ten lakes.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,599.0,,,,
When I entered the shop I was a bit angry.,When I entered into the shop I was a bit angry.,syntax-semantics,Preposition,Preposition_Unnecessary,True,True,False,False,,When I entered,,into,614.0
Those girls imagine that Donna had found them.,Those girls imagine that Donna had found themselves.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,447.0,,,,
Jennifer doesn't imagine Samuel would kiss himself.,Samuel doesn't imagine Jennifer would kiss himself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,492.0,,,,
Steven hasn't helped himself.,Steven hasn't helped itself.,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,539.0,,,,
Leslie might not ever flee from Brian.,Leslie might fortunately ever flee from Brian.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,741.0,,,,
Dana isn't messing up this concealed glass.,Dana isn't messing up these concealed glass.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,263.0,,,,
Melissa can exit these grocery stores.,Melissa can exit this grocery stores.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,455.0,,,,
These grocery stores were driven to by some waiters.,These grocery stores were driven to by some car.,syntax,s-selection,animate_subject_passive,True,True,False,False,384.0,,,,
Samuel drove to some cafe.,Samuel driven to some cafe.,morphology,irregular_forms,irregular_past_participle_verbs,True,True,False,False,428.0,,,,
Joel skated around those oases.,Joel skated around that oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,423.0,,,,
The hats fold.,The hat fold.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,489.0,,,,
The rug had irritated those small banks.,The rug had irritated those small bank.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,764.0,,,,
A lot of guys who weren't appreciating Cynthia had attacked themselves.,A lot of guys who weren't appreciating Cynthia had attacked herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,596.0,,,,
It's herself who Bethany doesn't alarm.,It's herself who doesn't alarm Bethany.,syntax_semantics,binding,principle_A_reconstruction,True,False,False,True,332.0,,,,
Those cousins of the Lutherans weren't bored by Michael's best friends.,Those cousins of the Lutherans weren't replied by Michael's best friends.,syntax,argument_structure,passive_1,True,False,False,False,526.0,,,,
Christina is revealing Alexander.,Christina are revealing Alexander.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,257.0,,,,
There wasn't a school expecting every waiter to bring some reports.,There wasn't every school expecting every waiter to bring some reports.,semantics,quantifiers,existential_there_quantifiers_1,True,False,False,False,619.0,,,,
Most dancers examine that thesis.,Most dancers examine those thesis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,271.0,,,,
Some friends of those guys buy.,Some friends of those guys complained about.,syntax,argument_structure,drop_argument,True,False,False,False,417.0,,,,
Vanessa's cousins leave.,Vanessa's cousins complained about.,syntax,argument_structure,drop_argument,True,False,False,False,531.0,,,,
