text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs
"Well, some others helped me with the task, but that did not make it much easier.",G,Preposition_Replacing,PREP,"{'G': 2.44140625, 'PREP': 3.484375, 'DET': -4.265625, 'SVA': -4.08984375}"
In the future people will be even more concerned about pollution and harmful UV - rays.,G,Preposition_Replacing,PREP,"{'G': 2.53515625, 'PREP': 3.435546875, 'DET': -4.51953125, 'SVA': -4.0}"
Regarding what you could do in your free afternoon on the day you leave I would suggest you take the students to our History Museum.,G,Preposition_Unnecessary,PREP,"{'G': 2.419921875, 'PREP': 3.4765625, 'DET': -4.17578125, 'SVA': -4.1328125}"
"I thought that it could only be seen by 3 people, but that was a mistake...",G,Preposition_Missing,PREP,"{'G': 2.431640625, 'PREP': 3.494140625, 'DET': -4.29296875, 'SVA': -4.0546875}"
If you want to hear more of my suggestions and opinions about it please contact me on my cellphone.,G,Preposition_Unnecessary,PREP,"{'G': 2.337890625, 'PREP': 3.49609375, 'DET': -4.01171875, 'SVA': -4.15625}"
"When I bought my tickets, I noticed I didn't get any discount like the one that was written on the folder.",G,Preposition_Replacing,PREP,"{'G': 2.73046875, 'PREP': 3.3125, 'DET': -4.546875, 'SVA': -4.1328125}"
"Second, I don't like tents and I can't get used to them, so I prefer log cabins.",G,Preposition_Unnecessary,PREP,"{'G': 2.708984375, 'PREP': 3.349609375, 'DET': -4.6328125, 'SVA': -4.046875}"
I felt very disappointed then but I have learned something new about humans ; it is that you can only trust yourself.,G,Preposition_Missing,PREP,"{'G': 2.841796875, 'PREP': 3.06640625, 'DET': -4.10546875, 'SVA': -4.4375}"
"About what you can do in the area in the free time you have, I would suggest you visit the Modern Art Museum which now has a new exhibition.",G,Preposition_Replacing,PREP,"{'G': 2.521484375, 'PREP': 3.44921875, 'DET': -4.53125, 'SVA': -3.9765625}"
"But it was a big mistake because she told her mother about it and I don't know how but now my mother knows about it, and she is very worried about me and my future.",G,Preposition_Missing,PREP,"{'G': 2.728515625, 'PREP': 3.3125, 'DET': -4.6015625, 'SVA': -4.0703125}"
"Regarding the accommodation at camp, I prefer the log cabins, because a few years go, I went camping with some friends and every night it rained and in the tent it was impossible to sleep because the ground was so wet. So for this reason, I choose the log cabins.",G,Preposition_Unnecessary,PREP,"{'G': 2.5546875, 'PREP': 3.419921875, 'DET': -4.37109375, 'SVA': -4.11328125}"
"In addition to this, there is less communication between members of my family, because when we arrive home after an exhausting day racing against time, the only thing we want to do is lie on the sofa while watching television.",G,Preposition_Replacing,PREP,"{'G': 2.548828125, 'PREP': 3.44140625, 'DET': -4.5703125, 'SVA': -3.9765625}"
That's why they both have to be taken into account in the video we will make.,G,Preposition_Replacing,PREP,"{'G': 2.513671875, 'PREP': 3.447265625, 'DET': -4.4375, 'SVA': -4.02734375}"
That's why all his friends were angry with him and left him alone.,G,Preposition_Replacing,PREP,"{'G': 2.63671875, 'PREP': 3.333984375, 'DET': -4.1875, 'SVA': -4.2734375}"
Thank you for organising the programme for the trip to London.,G,Preposition_Replacing,PREP,"{'G': 2.876953125, 'PREP': 3.193359375, 'DET': -4.83984375, 'SVA': -4.015625}"
Sometimes I even play some games on it.,G,Preposition_Replacing,PREP,"{'G': 2.17578125, 'PREP': 3.59765625, 'DET': -3.916015625, 'SVA': -4.09375}"
"Last month, Alice and her friends suggested to me that I help at a pop concert.",G,Preposition_Missing,PREP,"{'G': 2.80859375, 'PREP': 3.236328125, 'DET': -4.5078125, 'SVA': -4.19921875}"
"There was nobody to let me in, no way to contact my parents.",G,Preposition_Unnecessary,PREP,"{'G': 2.505859375, 'PREP': 3.431640625, 'DET': -4.24609375, 'SVA': -4.15234375}"
It has allowed me to worry about other things in my life.,G,Preposition_Replacing,PREP,"{'G': 2.06640625, 'PREP': 3.591796875, 'DET': -3.609375, 'SVA': -4.18359375}"
I am writing to you because my class want to give a surprise birthday party for your husband Mr Brown.,G,Preposition_Missing,PREP,"{'G': 2.87890625, 'PREP': 3.173828125, 'DET': -4.6484375, 'SVA': -4.1328125}"
I would like you to give me my money back.,G,Preposition_Unnecessary,PREP,"{'G': 1.619140625, 'PREP': 3.59375, 'DET': -2.482421875, 'SVA': -4.421875}"
She told me that she knew that last Saturday I went to a party without asking her and that she had to punish me for that.,G,Preposition_Replacing,PREP,"{'G': 2.68359375, 'PREP': 3.32421875, 'DET': -4.453125, 'SVA': -4.15234375}"
"It seemed to be the most interesting lesson, because students always make some mistakes while they are practising with their partner, in spite of having been told by the teacher ten times.",G,Preposition_Replacing,PREP,"{'G': 2.771484375, 'PREP': 3.267578125, 'DET': -4.5703125, 'SVA': -4.1328125}"
"The mobile phone is a marvellous invention, but as with cigarettes, we should write on it :",G,Preposition_Replacing,PREP,"{'G': 2.4375, 'PREP': 3.50390625, 'DET': -4.29296875, 'SVA': -4.07421875}"
The problem with this job is that you have to deal with huge numbers of people.,G,Preposition_Replacing,PREP,"{'G': 2.92578125, 'PREP': 3.12109375, 'DET': -4.69140625, 'SVA': -4.1328125}"
"Furthermore, it is possible to treat many patients who have serious diseases more effectively, if we use modern technology in medical science.",G,Preposition_Replacing,PREP,"{'G': 2.517578125, 'PREP': 3.453125, 'DET': -4.3984375, 'SVA': -4.078125}"
"Now, my life is the best that could be imagined.",G,Preposition_Unnecessary,PREP,"{'G': 2.5234375, 'PREP': 3.455078125, 'DET': -4.50390625, 'SVA': -3.98828125}"
I would be pleased to help you with all your questions and I will provide you with the information which you need as far as I can.,G,Preposition_Missing,PREP,"{'G': 2.44921875, 'PREP': 3.46875, 'DET': -4.26171875, 'SVA': -4.09375}"
So the conference will be a great experience for you and your group.,G,Preposition_Replacing,PREP,"{'G': 2.39453125, 'PREP': 3.501953125, 'DET': -4.18359375, 'SVA': -4.1015625}"
"In the last one hundred years science and technology has taken a big step, if we look back.",G,Preposition_Replacing,PREP,"{'G': 2.458984375, 'PREP': 3.494140625, 'DET': -4.47265625, 'SVA': -3.970703125}"
I am writing to complain about your musical show. I am not really satisfied with it.,G,Preposition_Replacing,PREP,"{'G': 2.712890625, 'PREP': 3.337890625, 'DET': -4.53125, 'SVA': -4.1171875}"
It was boring that nothing happened for such a long time on the stage.,G,Preposition_Missing,PREP,"{'G': 2.361328125, 'PREP': 3.51953125, 'DET': -4.17578125, 'SVA': -4.08984375}"
"On the other hand, some companies offer special services, such as sending your order by post or taking it on the telephone.",G,Preposition_Replacing,PREP,"{'G': 2.421875, 'PREP': 3.49609375, 'DET': -4.328125, 'SVA': -4.02734375}"
All these products of science are with me from the very beginning of my day.,G,Preposition_Replacing,PREP,"{'G': 2.400390625, 'PREP': 3.48046875, 'DET': -4.0546875, 'SVA': -4.19140625}"
I am writing to you concerning your advertisement for the show at the Circle Theatre.,G,Preposition_Replacing,PREP,"{'G': 2.5390625, 'PREP': 3.435546875, 'DET': -4.51953125, 'SVA': -3.994140625}"
I have just received your letter and I am really looking forward to going on this trip.,G,Preposition_Replacing,PREP,"{'G': 2.755859375, 'PREP': 3.298828125, 'DET': -4.60546875, 'SVA': -4.09765625}"
I am writing to you about an incident that occurred at the musical which was put on at your theatre during my week's holiday in London.,G,Preposition_Replacing,PREP,"{'G': 2.626953125, 'PREP': 3.400390625, 'DET': -4.55859375, 'SVA': -4.046875}"
The other reason I mentioned earlier is a request from the whole class.,G,Preposition_Unnecessary,PREP,"{'G': 2.60546875, 'PREP': 3.416015625, 'DET': -4.5234375, 'SVA': -4.0703125}"
Daniela agreed but she knew that it was snowing and that it was dangerous to walk in this kind of weather.,G,Preposition_Replacing,PREP,"{'G': 2.15625, 'PREP': 3.3828125, 'DET': -2.8984375, 'SVA': -4.72265625}"
I must say that being at a concert is very nice.,G,Preposition_Replacing,PREP,"{'G': 2.98828125, 'PREP': 3.052734375, 'DET': -4.65234375, 'SVA': -4.1953125}"
I believe that most busy people want to go shopping the quick and easy way.,G,Preposition_Unnecessary,PREP,"{'G': 2.642578125, 'PREP': 3.369140625, 'DET': -4.4375, 'SVA': -4.1328125}"
"Nowadays, I remember this story as a bad experience.",G,Preposition_Replacing,PREP,"{'G': 2.314453125, 'PREP': 3.544921875, 'DET': -4.19140625, 'SVA': -4.02734375}"
I have recently been on a holiday to London.,G,Preposition_Replacing,PREP,"{'G': 2.751953125, 'PREP': 3.23046875, 'DET': -4.37890625, 'SVA': -4.22265625}"
"If we want to do something, we can do it at night the same as in the day.",G,Preposition_Missing,PREP,"{'G': 2.4375, 'PREP': 3.490234375, 'DET': -4.38671875, 'SVA': -3.99609375}"
"If you chose the post, you would be thoroughly exhausted at the end of the concert.",G,Preposition_Replacing,PREP,"{'G': 2.73828125, 'PREP': 3.3046875, 'DET': -4.640625, 'SVA': -4.06640625}"
We are very interested in going to this show.,G,Preposition_Missing,PREP,"{'G': 2.134765625, 'PREP': 3.623046875, 'DET': -4.00390625, 'SVA': -3.9765625}"
"The idea of going to the science museum is fantastic. I read about the museum, and it is really interesting for the history of science.",G,Preposition_Replacing,PREP,"{'G': 2.708984375, 'PREP': 3.34765625, 'DET': -4.62109375, 'SVA': -4.0703125}"
I prefer to stay in a tent so I go camping every summer and am used to sleeping in tents.,G,Preposition_Replacing,PREP,"{'G': 2.4453125, 'PREP': 3.5, 'DET': -4.2734375, 'SVA': -4.10546875}"
"You know that I'm a little bit lazy, but the main reason for not writing to you has been the accumulation of exams during this month.",G,Preposition_Missing,PREP,"{'G': 2.55859375, 'PREP': 3.4375, 'DET': -4.51171875, 'SVA': -4.02734375}"
If it is possible I would like to travel in July because school is finishing on the 28th June and I have already accepted a job for August.,G,Preposition_Replacing,PREP,"{'G': 2.59375, 'PREP': 3.416015625, 'DET': -4.5625, 'SVA': -4.01171875}"
I think it would be better for me to travel in July.,G,Preposition_Replacing,PREP,"{'G': 2.447265625, 'PREP': 3.498046875, 'DET': -4.42578125, 'SVA': -3.978515625}"
The same hotel that you will be staying at.,G,Preposition_Missing,PREP,"{'G': 2.814453125, 'PREP': 3.2265625, 'DET': -4.68359375, 'SVA': -4.07421875}"
Well I believe that it was a bad day but I would like you to give me my money back because in the advertisement there were some things that we didn't have in the theatre.,G,Preposition_Replacing,PREP,"{'G': 2.630859375, 'PREP': 3.384765625, 'DET': -4.48828125, 'SVA': -4.0859375}"
The aim of this report is to summarize the pupil's attitudes to the video they have to make and to suggest which lessons and other activities should be filmed.,G,Preposition_Replacing,PREP,"{'G': 2.970703125, 'PREP': 3.095703125, 'DET': -4.8203125, 'SVA': -4.07421875}"
I don't think you can believe what I've told you but I won't forget this experience.,G,Preposition_Unnecessary,PREP,"{'G': 2.474609375, 'PREP': 3.330078125, 'DET': -3.833984375, 'SVA': -4.3515625}"
"However, there are a few times when you can not enjoy shopping.",G,Preposition_Unnecessary,PREP,"{'G': 2.4140625, 'PREP': 3.4921875, 'DET': -4.35546875, 'SVA': -3.990234375}"
"The first and most important thing is that modern technology has made our life easier, for instance the rice cooker is a great invention, all you have to do is put rice in it and switch it on, it makes cooking more efficient.",G,Preposition_Replacing,PREP,"{'G': 2.484375, 'PREP': 3.470703125, 'DET': -4.48046875, 'SVA': -3.978515625}"
I am writing to you because I would like to provide the information that you ask for.,G,Preposition_Missing,PREP,"{'G': 2.591796875, 'PREP': 3.416015625, 'DET': -4.48046875, 'SVA': -4.0703125}"
I have taken a Photography course and I enjoy taking photos of animals.,G,Preposition_Replacing,PREP,"{'G': 2.5234375, 'PREP': 3.451171875, 'DET': -4.35546875, 'SVA': -4.09375}"
"In my opinion, it is great that science and technology improve our life.",G,Preposition_Unnecessary,PREP,"{'G': 2.26953125, 'PREP': 3.5390625, 'DET': -4.0, 'SVA': -4.12109375}"
"As you possibly already know, the end - of - conference party will take place in the main reception room at the same hotel.",G,Preposition_Replacing,PREP,"{'G': 2.447265625, 'PREP': 3.4921875, 'DET': -4.44921875, 'SVA': -3.97265625}"
That's a place where you lose too much time and health.,G,Preposition_Unnecessary,PREP,"{'G': 2.03515625, 'PREP': 3.619140625, 'DET': -3.576171875, 'SVA': -4.171875}"
"I've recently started classes so all the rules were given to us, as you know, on the first day.",G,Preposition_Missing,PREP,"{'G': 2.4609375, 'PREP': 3.48046875, 'DET': -4.32421875, 'SVA': -4.078125}"
I have gone out onto the street and I have asked people this question.,G,Preposition_Unnecessary,PREP,"{'G': 2.7421875, 'PREP': 3.3046875, 'DET': -4.5, 'SVA': -4.15234375}"
I have just received your letter which made me so happy. I am writing to reply to your questions.,G,Preposition_Missing,PREP,"{'G': 2.4453125, 'PREP': 3.45703125, 'DET': -4.1015625, 'SVA': -4.1875}"
"Of course, you should give a refund for the money spent, not only to me but to all the audience.",G,Preposition_Replacing,PREP,"{'G': 2.6171875, 'PREP': 3.39453125, 'DET': -4.56640625, 'SVA': -4.0234375}"
I am replying to your letter about the first prize in the competition that I won and there are a number of things I would like to make clear.,G,Preposition_Replacing,PREP,"{'G': 2.59375, 'PREP': 3.421875, 'DET': -4.5390625, 'SVA': -4.04296875}"
"After having thought about this video and asked various people so as to know what they suggested, I reached the following conclusions : we must film the lessons which are the most important and the activities which take up a great part of a day at school ; this being in three parts.",G,Preposition_Replacing,PREP,"{'G': 2.53515625, 'PREP': 3.4296875, 'DET': -4.4453125, 'SVA': -4.0390625}"
I would like to book my tickets for the beginning of July.,G,Preposition_Replacing,PREP,"{'G': 2.19921875, 'PREP': 3.484375, 'DET': -3.484375, 'SVA': -4.33984375}"
"If you just decide to work, you'd better find a job near your place.",G,Preposition_Replacing,PREP,"{'G': 2.625, 'PREP': 3.35546875, 'DET': -4.48046875, 'SVA': -4.0703125}"
"Naturally, it's easier to get a job when you are good at foreign languages or computers.",G,Preposition_Replacing,PREP,"{'G': 2.912109375, 'PREP': 3.142578125, 'DET': -4.55859375, 'SVA': -4.22265625}"
I am writing in response to your letter which I received two days go and in order to answer all questions I was asked.,G,Preposition_Unnecessary,PREP,"{'G': 2.4609375, 'PREP': 3.4921875, 'DET': -4.44140625, 'SVA': -3.9765625}"
"Also, it was certain for me to be able to buy a discount ticket because I am a student.",G,Preposition_Replacing,PREP,"{'G': 2.54296875, 'PREP': 3.4375, 'DET': -4.49609375, 'SVA': -4.01953125}"
I would be really happy if I could choose singing and photography from activities you have listed.,G,Preposition_Replacing,PREP,"{'G': 2.650390625, 'PREP': 3.357421875, 'DET': -4.41796875, 'SVA': -4.15625}"
"Going out to spend a day shopping is something very popular. The shopping centres are always busy, with people going up and down carrying bags and looking in shop windows ; it seems everybody is happy.",G,Preposition_Replacing,PREP,"{'G': 2.646484375, 'PREP': 3.357421875, 'DET': -4.48046875, 'SVA': -4.1171875}"
Thank you very much for your letter. I am very happy about having won the competition.,G,Preposition_Replacing,PREP,"{'G': 2.654296875, 'PREP': 3.359375, 'DET': -4.55859375, 'SVA': -4.0703125}"
In my opinion modern technology has not really changed my daily life a lot because I am just 20 years old and I used to play with a computer when I was young or wash my clothes in the washing machine.,G,Preposition_Missing,PREP,"{'G': 2.638671875, 'PREP': 3.390625, 'DET': -4.46875, 'SVA': -4.12109375}"
You have to wait in a long queue for more than 15 minutes.,G,Preposition_Replacing,PREP,"{'G': 2.2578125, 'PREP': 3.564453125, 'DET': -4.05859375, 'SVA': -4.0625}"
"Climbing would be my second option, but for this I'm afraid I would need some instruction because I've only done it a few times.",G,Preposition_Replacing,PREP,"{'G': 2.474609375, 'PREP': 3.427734375, 'DET': -4.04296875, 'SVA': -4.26171875}"
"That is why I propose to start our film with the beginning of the day, when all the students come into the classroom.",G,Preposition_Replacing,PREP,"{'G': 2.43359375, 'PREP': 3.4921875, 'DET': -4.42578125, 'SVA': -3.96484375}"
"I was at first, very excited to be seeing the show, because in the advertisement it said that it is the best musical in London.",G,Preposition_Missing,PREP,"{'G': 2.5078125, 'PREP': 3.466796875, 'DET': -4.4609375, 'SVA': -4.01953125}"
"The man said it was OK this time and we got in quite easily, we'd made it.",G,Preposition_Unnecessary,PREP,"{'G': 2.458984375, 'PREP': 3.490234375, 'DET': -4.33203125, 'SVA': -4.06640625}"
"On the one hand, our time is taken up with learning how to deal with the new technologies.",G,Preposition_Missing,PREP,"{'G': 2.716796875, 'PREP': 3.328125, 'DET': -4.64453125, 'SVA': -4.05859375}"
I would like to choose surfing as my second activity.,G,Preposition_Replacing,PREP,"{'G': 2.095703125, 'PREP': 3.59765625, 'DET': -3.607421875, 'SVA': -4.21484375}"
It was so difficult for me because I had been really scared to stand on a high place since I was young.,G,Preposition_Replacing,PREP,"{'G': 2.6015625, 'PREP': 3.40234375, 'DET': -4.4765625, 'SVA': -4.078125}"
"They like designer clothes and everyone wears different modern clothes in terms of size, colour and shape.",G,Preposition_Unnecessary,PREP,"{'G': 2.62109375, 'PREP': 3.31640625, 'DET': -4.078125, 'SVA': -4.3125}"
We found two good hotels and we decided on the Palace Hotel.,G,Preposition_Replacing,PREP,"{'G': 2.2421875, 'PREP': 3.5859375, 'DET': -4.15234375, 'SVA': -3.974609375}"
He's not good not because he was born with this tendency to harm but because the other characters have made him like that.,G,Preposition_Missing,PREP,"{'G': 2.689453125, 'PREP': 3.341796875, 'DET': -4.53515625, 'SVA': -4.10546875}"
"The shopping centre is just opposite the hotel. However, some people may want to just wait at the hotel, having a cup of coffee.",G,Preposition_Unnecessary,PREP,"{'G': 2.794921875, 'PREP': 3.2578125, 'DET': -4.58984375, 'SVA': -4.1484375}"
I'm writing to you about our trip which you have organised.,G,Preposition_Missing,PREP,"{'G': 2.48828125, 'PREP': 3.47265625, 'DET': -4.40625, 'SVA': -4.01953125}"
I also enjoy shopping on the Internet.,G,Preposition_Replacing,PREP,"{'G': 1.8720703125, 'PREP': 3.673828125, 'DET': -3.568359375, 'SVA': -4.0}"
