text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs
Pat was the only person who I told my secret but now it has become a joke! I promised to myself... I would have to kill her!,PREP,Preposition_Missing,G,"{'G': 3.66796875, 'PREP': 2.109375, 'DET': -4.93359375, 'SVA': -4.13671875}"
"Despite the fact she knew that Pat couldn't keep a secret, this time she was confident maybe she would be able to.",PREP,Preposition_Missing,G,"{'G': 3.05078125, 'PREP': 3.021484375, 'DET': -4.796875, 'SVA': -4.140625}"
"There was only one thing I didn't like with her : she would do anything to have friends, even betray me.",PREP,Preposition_Replacing,G,"{'G': 3.279296875, 'PREP': 2.63671875, 'DET': -4.55078125, 'SVA': -4.33203125}"
"Thinking about the media's treatment of famous people, I've realised of some things.",PREP,Preposition_Unnecessary,G,"{'G': 3.78515625, 'PREP': 1.9208984375, 'DET': -4.90625, 'SVA': -4.09765625}"
"Deep of herself, Alex knew they were lost in the middle of nowhere, but she didn't want to admit it.",PREP,Preposition_Replacing,G,"{'G': 4.8515625, 'PREP': -0.64013671875, 'DET': -4.9296875, 'SVA': -3.306640625}"
Her friend Pat had explained the whole story at her husband.,PREP,Preposition_Replacing,G,"{'G': 4.91796875, 'PREP': -0.75244140625, 'DET': -5.01953125, 'SVA': -3.232421875}"
It would be a fantastic opportunity to the students who study fashion.,PREP,Preposition_Replacing,G,"{'G': 5.03515625, 'PREP': -2.21484375, 'DET': -4.66015625, 'SVA': -2.078125}"
HE TOOK ME RIGHT IN THE FRONT OF MY HOUSE.,PREP,Preposition_Replacing,G,"{'G': 3.591796875, 'PREP': 0.168212890625, 'DET': -6.2890625, 'SVA': -0.93505859375}"
We said yes immediately. I nearly shouted of happiness when they told us that Luis Miguel was giving the concert. He is my favourite singer.,PREP,Preposition_Replacing,G,"{'G': 4.5390625, 'PREP': 0.2841796875, 'DET': -5.08203125, 'SVA': -3.6171875}"
In addition I think that some personal opinions about the school should be reported asking students and teachers.,PREP,Preposition_Missing,G,"{'G': 3.642578125, 'PREP': 2.1875, 'DET': -4.95703125, 'SVA': -4.12890625}"
The bus had left about fifteen minutes.,PREP,Preposition_Missing,G,"{'G': 5.10546875, 'PREP': -2.158203125, 'DET': -4.43359375, 'SVA': -2.46484375}"
Write me soon to tell me your thoughts about what happened to me.,PREP,Preposition_Missing,G,"{'G': 3.1953125, 'PREP': 2.55078125, 'DET': -4.05859375, 'SVA': -4.56640625}"
I would like to complain four things concerning your theatre.,PREP,Preposition_Missing,G,"{'G': 4.1484375, 'PREP': 0.089599609375, 'DET': -2.978515625, 'SVA': -4.4609375}"
I am writing to answer to the questions I have been asked in your previous letter.,PREP,Preposition_Unnecessary,G,"{'G': 3.12109375, 'PREP': 2.939453125, 'DET': -4.83984375, 'SVA': -4.125}"
"The dangerous man who we'd gone to buy drugs was upset with my brother and had decided to kill him, but I had killed him first.",PREP,Preposition_Missing,G,"{'G': 3.513671875, 'PREP': 2.390625, 'DET': -4.87109375, 'SVA': -4.1875}"
It aims at to improve our standard of life and allows us to live more comfortably.,PREP,Preposition_Unnecessary,G,"{'G': 3.197265625, 'PREP': 2.80078125, 'DET': -4.67578125, 'SVA': -4.2578125}"
"Taking everything account, the drawbacks far outweigh its benefits.",PREP,Preposition_Missing,G,"{'G': 5.08203125, 'PREP': -1.853515625, 'DET': -4.34765625, 'SVA': -2.833984375}"
On the advertisement it was written that Danny Brook would be there too.,PREP,Preposition_Replacing,G,"{'G': 3.052734375, 'PREP': 2.998046875, 'DET': -4.6328125, 'SVA': -4.23828125}"
"If I had the choice, I would never go shopping to the big supermarkets.",PREP,Preposition_Replacing,G,"{'G': 3.677734375, 'PREP': 2.162109375, 'DET': -5.05078125, 'SVA': -4.078125}"
Save some money to go for shopping in Paris or Roma and see how the French or Italian fashion looks on you! And after that you can visit the duty - free shops and buy some cheap souvenirs.,PREP,Preposition_Unnecessary,G,"{'G': 3.015625, 'PREP': 2.966796875, 'DET': -4.5390625, 'SVA': -4.25390625}"
"As the record says, our hockey team has been on the top of the league for three successive years.",PREP,Preposition_Replacing,G,"{'G': 3.318359375, 'PREP': 2.619140625, 'DET': -4.71875, 'SVA': -4.24609375}"
I have sent to you a photocopy of our tickets.,PREP,Preposition_Unnecessary,G,"{'G': 3.328125, 'PREP': 2.517578125, 'DET': -4.4140625, 'SVA': -4.39453125}"
"I can't wait to do my painting for the rising sun, and can't imagine how wonderful sailing along the rivers will be.",PREP,Preposition_Replacing,G,"{'G': 4.171875, 'PREP': 1.078125, 'DET': -4.94921875, 'SVA': -3.958984375}"
Here are the answers for your questions.,PREP,Preposition_Replacing,G,"{'G': 2.9765625, 'PREP': 2.705078125, 'DET': -4.578125, 'SVA': -3.89453125}"
I really liked.,PREP,Preposition_Missing,G,"{'G': 4.41796875, 'PREP': 0.434814453125, 'DET': -4.73046875, 'SVA': -3.865234375}"
In my opinion the hall of the rock concerts was too small. You have to consider booking a bigger one for next year because these kinds of events are attended by a lot of young people.,PREP,Preposition_Replacing,G,"{'G': 3.201171875, 'PREP': 2.85546875, 'DET': -4.85546875, 'SVA': -4.16015625}"
I would like to stay in a log cabin because I have had bad experiences about tents.,PREP,Preposition_Replacing,G,"{'G': 3.193359375, 'PREP': 2.8671875, 'DET': -4.8046875, 'SVA': -4.18359375}"
Looking forward for your answer.,PREP,Preposition_Replacing,G,"{'G': 3.798828125, 'PREP': 1.6259765625, 'DET': -4.828125, 'SVA': -3.953125}"
Also when I visited the theatre's restaurant I found it closed because of renovation.,PREP,Preposition_Replacing,G,"{'G': 3.822265625, 'PREP': 1.8642578125, 'DET': -5.01171875, 'SVA': -4.05859375}"
Even though we want to make things as comfortable as possible to our students.,PREP,Preposition_Replacing,G,"{'G': 3.466796875, 'PREP': 2.361328125, 'DET': -4.5859375, 'SVA': -4.33203125}"
I am very glad for to receive such a wonderful surprise as to learn that I have won first prize.,PREP,Preposition_Unnecessary,G,"{'G': 3.154296875, 'PREP': 2.900390625, 'DET': -4.79296875, 'SVA': -4.19140625}"
Home is an institution that creates humans and makes them as people and good members of their communities.,PREP,Preposition_Unnecessary,G,"{'G': 4.4296875, 'PREP': 0.493896484375, 'DET': -5.05078125, 'SVA': -3.640625}"
"To my mind, the class attending a lesson must be shown at first.",PREP,Preposition_Unnecessary,G,"{'G': 3.3203125, 'PREP': 2.671875, 'DET': -4.9140625, 'SVA': -4.1328125}"
When I completed a month to this job my executive told John to go to the office.,PREP,Preposition_Replacing,G,"{'G': 4.0625, 'PREP': 1.447265625, 'DET': -5.15625, 'SVA': -3.9140625}"
"It is an obligation to shop medicines, clothes for winter, doctor's visits, and so forth.",PREP,Preposition_Missing,G,"{'G': 3.248046875, 'PREP': 2.794921875, 'DET': -4.90234375, 'SVA': -4.1328125}"
"Lastly, I think that all these changes won't really be noticed as we change things daily and slowly instead abruptly.",PREP,Preposition_Missing,G,"{'G': 3.4453125, 'PREP': 2.466796875, 'DET': -4.83984375, 'SVA': -4.2109375}"
from.,PREP,Preposition_Unnecessary,G,"{'G': 5.07421875, 'PREP': -1.9658203125, 'DET': -5.26171875, 'SVA': -1.962890625}"
"Fans weren't allowed to take any sharp things with them, like knives or scissors.",PREP,Preposition_Missing,G,"{'G': 5.05859375, 'PREP': -1.435546875, 'DET': -4.64453125, 'SVA': -2.97265625}"
"When you are a man and your wife asks you to go for shopping, be patient!",PREP,Preposition_Unnecessary,G,"{'G': 4.0625, 'PREP': 1.3662109375, 'DET': -5.2421875, 'SVA': -3.796875}"
"Danny Brook didn't act at the performance, there was another, unknown, actor.",PREP,Preposition_Replacing,G,"{'G': 4.7109375, 'PREP': -0.2176513671875, 'DET': -4.9296875, 'SVA': -3.517578125}"
It would be a pleasure to us and to your husband to come at the party.,PREP,Preposition_Replacing,G,"{'G': 3.654296875, 'PREP': 2.06640625, 'DET': -4.51953125, 'SVA': -4.37109375}"
I was so disappointed with that.,PREP,Preposition_Replacing,G,"{'G': 4.44921875, 'PREP': 0.47119140625, 'DET': -4.83203125, 'SVA': -3.88671875}"
Brian was very embarrassed to ask Jane out in a date.,PREP,Preposition_Replacing,G,"{'G': 5.1796875, 'PREP': -1.8408203125, 'DET': -4.703125, 'SVA': -2.728515625}"
"Concerning your advertisement, we were pleased to learn that we can do some different activities in London, which include in sightseeing by bus, a River trip to Greenwich, visiting the Science Museum and National Art Gallery and so on.",PREP,Preposition_Unnecessary,G,"{'G': 3.55078125, 'PREP': 2.251953125, 'DET': -4.83984375, 'SVA': -4.15625}"
The solution could be in an alternative way of making shops like the Internet.,PREP,Preposition_Unnecessary,G,"{'G': 3.833984375, 'PREP': 1.7763671875, 'DET': -4.69921875, 'SVA': -4.28125}"
"Concerning accommodation, I prefer in tents to log cabins.",PREP,Preposition_Unnecessary,G,"{'G': 3.91015625, 'PREP': 1.6708984375, 'DET': -4.8515625, 'SVA': -4.14453125}"
To hear the voice from the person you love is a feeling that is hard to describe ; it's wonderful and so real. You can imagine their face clearly.,PREP,Preposition_Replacing,G,"{'G': 3.267578125, 'PREP': 2.728515625, 'DET': -4.8359375, 'SVA': -4.17578125}"
I have filled two albums about birds and flowers.,PREP,Preposition_Replacing,G,"{'G': 4.75, 'PREP': -0.263427734375, 'DET': -5.01171875, 'SVA': -3.451171875}"
I had to make the fans keep a queue.,PREP,Preposition_Missing,G,"{'G': 3.29296875, 'PREP': 1.654296875, 'DET': -6.23046875, 'SVA': -2.013671875}"
Choosing gives me such great pleasure because I never have to worry from where I get money for my wishes.,PREP,Preposition_Replacing,G,"{'G': 3.7109375, 'PREP': 2.03125, 'DET': -4.82421875, 'SVA': -4.20703125}"
They tried to contact with my parents.,PREP,Preposition_Unnecessary,G,"{'G': 3.93359375, 'PREP': 1.439453125, 'DET': -4.62890625, 'SVA': -4.125}"
When the show started the person who was acting it was not Danny Brook and the replacement didn't seem to be an actor.,PREP,Preposition_Missing,G,"{'G': 5.1796875, 'PREP': -1.810546875, 'DET': -4.67578125, 'SVA': -2.787109375}"
"Normally, I live in the seaside and I couldn't live without this sport.",PREP,Preposition_Replacing,G,"{'G': 4.41796875, 'PREP': 0.5849609375, 'DET': -5.1484375, 'SVA': -3.650390625}"
And I was really disappointed from the different actor's performance.,PREP,Preposition_Replacing,G,"{'G': 3.716796875, 'PREP': 2.072265625, 'DET': -5.0859375, 'SVA': -4.04296875}"
I'm writing to you to describe some problems with your theatre's show. First I have to say to you that there was a different actor to the one advertised starring the play.,PREP,Preposition_Missing,G,"{'G': 3.119140625, 'PREP': 2.939453125, 'DET': -4.8515625, 'SVA': -4.11328125}"
"The old man and woman tried to get her to stay their house, but they couldn't.",PREP,Preposition_Missing,G,"{'G': 3.052734375, 'PREP': 3.013671875, 'DET': -4.71875, 'SVA': -4.171875}"
We need different things than men.,PREP,Preposition_Replacing,G,"{'G': 3.853515625, 'PREP': 1.634765625, 'DET': -4.55859375, 'SVA': -4.21484375}"
Television is a good way to be informed with the news.,PREP,Preposition_Replacing,G,"{'G': 5.125, 'PREP': -2.21484375, 'DET': -4.36328125, 'SVA': -2.509765625}"
It all began when Paul went downstairs of the Heavy Sleep.,PREP,Preposition_Replacing,G,"{'G': 3.169921875, 'PREP': 2.6875, 'DET': -5.3515625, 'SVA': -3.537109375}"
I was sure that it was Pat who told to everyone.,PREP,Preposition_Unnecessary,G,"{'G': 4.12109375, 'PREP': 1.2587890625, 'DET': -5.12890625, 'SVA': -3.87890625}"
Their family could explain them how they avoid things.,PREP,Preposition_Missing,G,"{'G': 3.09765625, 'PREP': 2.552734375, 'DET': -3.462890625, 'SVA': -4.85546875}"
I was afraid that someone was near my house and wanted to get to my house.,PREP,Preposition_Replacing,G,"{'G': 3.119140625, 'PREP': 2.9453125, 'DET': -4.78515625, 'SVA': -4.16796875}"
Pat was a teacher for English as a foreign language.,PREP,Preposition_Replacing,G,"{'G': 4.7109375, 'PREP': -0.35009765625, 'DET': -4.7734375, 'SVA': -3.5703125}"
Immediately she interrupted and told to the man that she was a secret agent.,PREP,Preposition_Unnecessary,G,"{'G': 4.85546875, 'PREP': -0.59765625, 'DET': -5.09765625, 'SVA': -3.224609375}"
"To be honest, I wanted to share this feeling to someone else but I needed to keep it very secret.",PREP,Preposition_Replacing,G,"{'G': 3.951171875, 'PREP': 1.5986328125, 'DET': -4.90625, 'SVA': -4.12109375}"
That's why I wanted to write you.,PREP,Preposition_Missing,G,"{'G': 3.048828125, 'PREP': 2.837890625, 'DET': -4.4453125, 'SVA': -4.27734375}"
"As he closed his eyes, he started to travel across the dark paths of his conscience.",PREP,Preposition_Replacing,G,"{'G': 4.94140625, 'PREP': -0.8798828125, 'DET': -4.98046875, 'SVA': -3.091796875}"
For my surprise Danny Brook never appeared.,PREP,Preposition_Replacing,G,"{'G': 5.16796875, 'PREP': -1.623046875, 'DET': -4.83203125, 'SVA': -2.828125}"
He told me that he had to tell to my grandmother.,PREP,Preposition_Unnecessary,G,"{'G': 4.5859375, 'PREP': -0.0955810546875, 'DET': -4.6015625, 'SVA': -3.716796875}"
"There is not enough time to do a lot of things ; and if I want to do them, I realize that my life is devoted to my duties without leaving any time to pleasures.",PREP,Preposition_Replacing,G,"{'G': 3.28515625, 'PREP': 2.70703125, 'DET': -4.828125, 'SVA': -4.1875}"
We hadn't so many machines than they have.,PREP,Preposition_Replacing,G,"{'G': 4.125, 'PREP': 0.96728515625, 'DET': -4.421875, 'SVA': -4.14453125}"
"I'm sorry to be writing to you for such a bad thing, but my evening at your theatre wasn't as perfect as you advertised : it wasn't perfect at all!",PREP,Preposition_Replacing,G,"{'G': 3.080078125, 'PREP': 2.95703125, 'DET': -4.7734375, 'SVA': -4.15625}"
I was regretting having risked staying at the park alone.,PREP,Preposition_Replacing,G,"{'G': 4.484375, 'PREP': 0.419677734375, 'DET': -5.05859375, 'SVA': -3.654296875}"
Change wasn't common and Governments didn't invest enough money on it.,PREP,Preposition_Replacing,G,"{'G': 5.078125, 'PREP': -1.43359375, 'DET': -4.6953125, 'SVA': -3.041015625}"
All my friends were trying to keep their distance with me.,PREP,Preposition_Replacing,G,"{'G': 4.453125, 'PREP': 0.31787109375, 'DET': -4.77734375, 'SVA': -3.71875}"
She persuaded him to go to the sea to ask a lot of things for her.,PREP,Preposition_Missing,G,"{'G': 4.64453125, 'PREP': -0.12396240234375, 'DET': -4.6875, 'SVA': -3.669921875}"
"I think I told you about my plans of to join a group that helps at concerts, didn't I?",PREP,Preposition_Unnecessary,G,"{'G': 3.13671875, 'PREP': 2.921875, 'DET': -4.796875, 'SVA': -4.171875}"
"Suddenly, all my classmates applauded and smiled to me with respect.",PREP,Preposition_Replacing,G,"{'G': 5.0390625, 'PREP': -1.150390625, 'DET': -4.91796875, 'SVA': -3.060546875}"
It starts 10:00 am and finishes at 9:00 p.m.,PREP,Preposition_Missing,G,"{'G': 3.478515625, 'PREP': 2.2890625, 'DET': -5.51171875, 'SVA': -3.578125}"
Our homes should just protect us dangers from outside.,PREP,Preposition_Missing,G,"{'G': 4.8828125, 'PREP': -1.2216796875, 'DET': -3.9765625, 'SVA': -3.4765625}"
It will be a presentation of the latest fashions and about leisure and sports wear.,PREP,Preposition_Replacing,G,"{'G': 3.619140625, 'PREP': 2.111328125, 'DET': -4.62890625, 'SVA': -4.234375}"
I am looking forward to hearing the news from your group.,PREP,Preposition_Replacing,G,"{'G': 3.693359375, 'PREP': 2.109375, 'DET': -5.109375, 'SVA': -4.03515625}"
Nobody told us about the reason for these problems.,PREP,Preposition_Unnecessary,G,"{'G': 4.1328125, 'PREP': 0.4453125, 'DET': -3.62890625, 'SVA': -4.33984375}"
The advertisement of the musical said that it was going to be Danny Brook. Unfortunately there was someone else - an actor who I do not like and if I had known that he was going to be there I would not have gone to see him.,PREP,Preposition_Replacing,G,"{'G': 3.412109375, 'PREP': 2.5234375, 'DET': -4.91796875, 'SVA': -4.140625}"
"To begin with, on your advertisement you say that Danny Brooks will be starring in the show but instead there was a different actor, which made us very disappointed.",PREP,Preposition_Replacing,G,"{'G': 3.0546875, 'PREP': 2.97265625, 'DET': -4.62109375, 'SVA': -4.234375}"
A DAY OF MY LIFE,PREP,Preposition_Replacing,G,"{'G': 2.416015625, 'PREP': -0.77783203125, 'DET': -5.94921875, 'SVA': 1.8603515625}"
