text,labels,UID,prediction,Probabilities
Anne was investigated.,G,passive_2,G,"{'G': 5.1796875, 'PREP': -2.294921875, 'DET': -4.6484375, 'SVA': -2.26953125}"
Ella does bike to that big college campuses.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -1.6357421875, 'PREP': -1.6181640625, 'DET': 8.1875, 'SVA': -2.04296875}"
"About the activities that I have to choose, I have to say that it is quite difficult for me because I really like sports, but I think the best option is swimming because I have been doing it for 5 years so I want to keep at it.",G,Preposition_Replacing,PREP,"{'G': 2.623046875, 'PREP': 3.392578125, 'DET': -4.5546875, 'SVA': -4.03515625}"
Rachel hasn't forgotten about herself climbing down many stairs.,G,principle_A_case_2,G,"{'G': 5.09375, 'PREP': -2.33203125, 'DET': -4.203125, 'SVA': -2.48046875}"
These oases are hard to arrive at.,G,tough_vs_raising_1,G,"{'G': 5.20703125, 'PREP': -2.14453125, 'DET': -4.640625, 'SVA': -2.48046875}"
The hidden jacket wasn't gray.,G,irregular_past_participle_adjectives,G,"{'G': 5.12890625, 'PREP': -2.41796875, 'DET': -4.6484375, 'SVA': -2.0390625}"
Wayne appreciated these boy.,DET,determiner_noun_agreement_2,DET,"{'G': -2.376953125, 'PREP': -1.255859375, 'DET': 8.5234375, 'SVA': -1.453125}"
The grandfathers of Diana drinks.,SVA,distractor_agreement_relational_noun,SVA,"{'G': 0.1939697265625, 'PREP': -2.63671875, 'DET': -3.296875, 'SVA': 5.65625}"
"In my opinion, in a hundred of years we'll wear the same kind of clothes that we wear nowadays.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.455078125, 'PREP': 3.49609375, 'DET': -4.30859375, 'SVA': -4.08203125}"
Becky fixes that small feet.,DET,determiner_noun_agreement_with_adj_irregular_1,DET,"{'G': -2.177734375, 'PREP': -1.380859375, 'DET': 8.4765625, 'SVA': -1.5888671875}"
The child has most pictures.,G,irregular_plural_subject_verb_agreement_2,G,"{'G': 5.1171875, 'PREP': -2.310546875, 'DET': -4.4609375, 'SVA': -2.296875}"
The child are hunting.,SVA,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -1.6689453125, 'PREP': -1.4912109375, 'DET': -1.8232421875, 'SVA': 6.07421875}"
There were few glaciers stunning Benjamin.,G,existential_there_quantifiers_1,G,"{'G': 5.10546875, 'PREP': -2.462890625, 'DET': -4.5703125, 'SVA': -2.0}"
This person hadn't healed these lucky dancers.,G,determiner_noun_agreement_with_adjective_1,G,"{'G': 5.15234375, 'PREP': -2.380859375, 'DET': -4.49609375, 'SVA': -2.2578125}"
Christine wouldn't conceal this lost stimulus.,G,determiner_noun_agreement_with_adj_irregular_2,G,"{'G': 5.19140625, 'PREP': -2.2421875, 'DET': -4.5390625, 'SVA': -2.43359375}"
This committee isn't describing this good pamphlet.,G,determiner_noun_agreement_with_adjective_1,G,"{'G': 5.04296875, 'PREP': -2.333984375, 'DET': -4.06640625, 'SVA': -2.47265625}"
Rebecca leaves that standing waiters.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.12109375, 'PREP': -1.5087890625, 'DET': 8.4296875, 'SVA': -1.51171875}"
All lakes don't astound those legislatures.,G,determiner_noun_agreement_1,G,"{'G': 5.15625, 'PREP': -2.375, 'DET': -4.5390625, 'SVA': -2.232421875}"
A doctor hasn't cleaned these bad mall.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.3515625, 'PREP': -1.341796875, 'DET': 8.515625, 'SVA': -1.4013671875}"
Only a lamp ever brightened.,G,only_npi_licensor_present,G,"{'G': 4.9296875, 'PREP': -1.8349609375, 'DET': -3.60546875, 'SVA': -3.224609375}"
A lot of nieces of a child aren't difficult to respect.,G,tough_vs_raising_1,G,"{'G': 4.390625, 'PREP': -2.9140625, 'DET': -4.1171875, 'SVA': -0.70263671875}"
A university that criticized those guests do discuss Denise.,SVA,distractor_agreement_relative_clause,SVA,"{'G': -1.1435546875, 'PREP': -1.927734375, 'DET': -2.302734375, 'SVA': 6.125}"
Judy can't conceal that popular stories.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.01953125, 'PREP': -1.4072265625, 'DET': 8.40625, 'SVA': -1.787109375}"
Colleen wasn't returning to these woman.,DET,determiner_noun_agreement_irregular_2,DET,"{'G': -2.251953125, 'PREP': -1.4052734375, 'DET': 8.4921875, 'SVA': -1.462890625}"
Many glasses that did hurt David do look like most pictures.,G,distractor_agreement_relative_clause,G,"{'G': 4.96484375, 'PREP': -2.408203125, 'DET': -3.837890625, 'SVA': -2.388671875}"
Many dancers can question some people that Gina argued about that see an eye.,G,wh_questions_subject_gap_long_distance,G,"{'G': 5.15234375, 'PREP': -2.392578125, 'DET': -4.6640625, 'SVA': -2.091796875}"
Some committees that worry Kendra dislikes a lot of women.,SVA,distractor_agreement_relative_clause,SVA,"{'G': 1.984375, 'PREP': -3.04296875, 'DET': -4.17578125, 'SVA': 3.767578125}"
What men was this window confusing and Mary watching?,G,coordinate_structure_constraint_complex_left_branch,G,"{'G': 5.08984375, 'PREP': -1.509765625, 'DET': -4.66796875, 'SVA': -2.982421875}"
An actor is disgusting that unsure men.,DET,determiner_noun_agreement_with_adj_irregular_2,DET,"{'G': -2.19140625, 'PREP': -1.3466796875, 'DET': 8.4765625, 'SVA': -1.6201171875}"
The child were observing Wendy.,SVA,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -1.564453125, 'PREP': -1.591796875, 'DET': -1.9189453125, 'SVA': 6.10546875}"
Connie can't notice these theses.,G,determiner_noun_agreement_irregular_1,G,"{'G': 5.1796875, 'PREP': -2.1953125, 'DET': -4.43359375, 'SVA': -2.578125}"
The feet vanish.,G,irregular_plural_subject_verb_agreement_2,G,"{'G': 5.1640625, 'PREP': -2.33984375, 'DET': -4.81640625, 'SVA': -2.03515625}"
"As if that wasn't enough, after the show, I took the risk of going to your restaurant and it is not very hard to guess that I wasn't able to enjoy it, as it was closed because it wasn't clean enough to serve food ; the perfect ending for the perfect evening.",PREP,Preposition_Replacing,PREP,"{'G': 2.66015625, 'PREP': 3.369140625, 'DET': -4.57421875, 'SVA': -4.05859375}"
A cashier does drive to that oasis.,G,determiner_noun_agreement_irregular_2,G,"{'G': 5.1796875, 'PREP': -2.29296875, 'DET': -4.55859375, 'SVA': -2.353515625}"
Lori wasn't hiring that delighted men.,DET,determiner_noun_agreement_with_adj_irregular_2,DET,"{'G': -2.134765625, 'PREP': -1.455078125, 'DET': 8.4609375, 'SVA': -1.5693359375}"
"Firstly, Palace Hotel has been booked for the group's accommodation and I spoke with the hotel manager about travelling to the conference.",G,Preposition_Unnecessary,PREP,"{'G': 3.009765625, 'PREP': 3.07421875, 'DET': -4.8203125, 'SVA': -4.09765625}"
The pedestrians discusses Rebecca.,SVA,regular_plural_subject_verb_agreement_2,SVA,"{'G': -0.402099609375, 'PREP': -2.275390625, 'DET': -3.021484375, 'SVA': 6.00390625}"
High schools stun this men.,DET,determiner_noun_agreement_irregular_2,DET,"{'G': -2.46875, 'PREP': -1.0966796875, 'DET': 8.5390625, 'SVA': -1.4931640625}"
Rodney questions most children that Lawrence was praising.,G,wh_questions_object_gap,G,"{'G': 5.1796875, 'PREP': -2.296875, 'DET': -4.5703125, 'SVA': -2.33203125}"
"Sometimes when we go shopping with someone who is not good company, we don't have a great time, or when we know what we want to buy, but when we get to the store they don't have what we want, in that instance we need to shop also when is an important day like Father's day or Christmas everywhere we want to go and buy something it is very crowded so we can't find what we are looking for with calmly because everybody is pushing you in the other direction to the one you want",PREP,Preposition_Unnecessary,PREP,"{'G': 2.4921875, 'PREP': 3.466796875, 'DET': -4.43359375, 'SVA': -4.0234375}"
I am writing to you because there were deviations from the advertisement which was published in the newspaper.,G,Preposition_Replacing,PREP,"{'G': 2.62890625, 'PREP': 3.390625, 'DET': -4.5234375, 'SVA': -4.078125}"
The library has these lice.,G,determiner_noun_agreement_irregular_2,G,"{'G': 5.15234375, 'PREP': -2.322265625, 'DET': -4.5, 'SVA': -2.328125}"
The customers who respected Angela dislikes Deanna.,SVA,distractor_agreement_relative_clause,SVA,"{'G': -1.1474609375, 'PREP': -1.8896484375, 'DET': -2.33203125, 'SVA': 6.140625}"
The worn sweaters are black.,G,irregular_past_participle_adjectives,G,"{'G': 5.07421875, 'PREP': -2.322265625, 'DET': -4.10546875, 'SVA': -2.494140625}"
Marie cares for that nice children.,DET,determiner_noun_agreement_with_adj_irregular_1,DET,"{'G': -2.27734375, 'PREP': -1.4052734375, 'DET': 8.4921875, 'SVA': -1.4072265625}"
"However, we have seen an advertisement on an English magazine for the London Fashion and Leisure Show.",PREP,Preposition_Replacing,PREP,"{'G': 2.642578125, 'PREP': 3.376953125, 'DET': -4.48046875, 'SVA': -4.1171875}"
The alumnus hides all books.,G,irregular_plural_subject_verb_agreement_2,G,"{'G': 4.875, 'PREP': -2.546875, 'DET': -3.75390625, 'SVA': -2.21484375}"
Most students have forgotten who the committees that have worried a lot of teachers concealed.,G,wh_vs_that_with_gap_long_distance,G,"{'G': 5.15625, 'PREP': -2.23046875, 'DET': -4.4765625, 'SVA': -2.4453125}"
Monet doesn't conceal that child.,G,determiner_noun_agreement_irregular_1,G,"{'G': 5.1875, 'PREP': -2.24609375, 'DET': -4.58984375, 'SVA': -2.396484375}"
A mother of many teenagers haven't tempted Frank to get a job.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -0.6806640625, 'PREP': -1.947265625, 'DET': -3.021484375, 'SVA': 6.07421875}"
Then we thought about going swimming to talk about some things.,G,Preposition_Unnecessary,PREP,"{'G': 2.83203125, 'PREP': 3.15625, 'DET': -4.27734375, 'SVA': -4.33984375}"
The paintings of Judy aren't hurting Dawn.,G,distractor_agreement_relational_noun,G,"{'G': 5.15625, 'PREP': -2.27734375, 'DET': -4.53125, 'SVA': -2.32421875}"
Catherine was researching these crises.,G,determiner_noun_agreement_irregular_1,G,"{'G': 5.1875, 'PREP': -2.267578125, 'DET': -4.546875, 'SVA': -2.412109375}"
Those oases was bothering Diane.,SVA,irregular_plural_subject_verb_agreement_1,SVA,"{'G': -1.3916015625, 'PREP': -1.9365234375, 'DET': -1.841796875, 'SVA': 6.13671875}"
Roger dislikes this man.,G,determiner_noun_agreement_irregular_2,G,"{'G': 5.203125, 'PREP': -2.19921875, 'DET': -4.6484375, 'SVA': -2.421875}"
Those pedestrians learn that that woman has fled from men.,G,wh_vs_that_no_gap,G,"{'G': 5.14453125, 'PREP': -2.29296875, 'DET': -4.51171875, 'SVA': -2.326171875}"
Jodi had revealed those brown snake.,DET,determiner_noun_agreement_with_adj_2,DET,"{'G': -2.052734375, 'PREP': -1.4384765625, 'DET': 8.4296875, 'SVA': -1.7060546875}"
The man have researched some essay.,SVA,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -1.5419921875, 'PREP': -1.5224609375, 'DET': -2.052734375, 'SVA': 6.09375}"
I have always been interested in arts and festivals.,G,Preposition_Missing,PREP,"{'G': 2.224609375, 'PREP': 3.591796875, 'DET': -4.078125, 'SVA': -4.01953125}"
The driver hasn't stood up.,G,regular_plural_subject_verb_agreement_2,G,"{'G': 5.0859375, 'PREP': -2.470703125, 'DET': -4.4921875, 'SVA': -2.056640625}"
No student is describing fewer than six schools.,G,superlative_quantifiers_1,G,"{'G': 5.1640625, 'PREP': -2.306640625, 'DET': -4.5859375, 'SVA': -2.27734375}"
Students escape from these hidden banks.,G,determiner_noun_agreement_with_adj_2,G,"{'G': 5.1875, 'PREP': -2.13671875, 'DET': -4.51953125, 'SVA': -2.59375}"
The reason for this is that I have difficulty in sleeping in tents.,PREP,Preposition_Unnecessary,PREP,"{'G': 2.521484375, 'PREP': 3.431640625, 'DET': -4.3828125, 'SVA': -4.09375}"
Thomas has concealed one lucky handyman and Grace has concealed some.,G,ellipsis_n_bar_1,G,"{'G': 5.16015625, 'PREP': -2.341796875, 'DET': -4.55078125, 'SVA': -2.255859375}"
Sara wasn't arguing about that happy adults.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.0390625, 'PREP': -1.5634765625, 'DET': 8.3984375, 'SVA': -1.5732421875}"
An ellipsis haven't confused that government.,SVA,irregular_plural_subject_verb_agreement_1,SVA,"{'G': -1.5810546875, 'PREP': -1.681640625, 'DET': -1.7763671875, 'SVA': 6.1015625}"
The child haven't whispered.,SVA,regular_plural_subject_verb_agreement_2,SVA,"{'G': -1.515625, 'PREP': -1.5966796875, 'DET': -2.013671875, 'SVA': 6.11328125}"
"I am good in those two activities, because I go to the sea every weekend.",PREP,Preposition_Replacing,PREP,"{'G': 2.369140625, 'PREP': 3.54296875, 'DET': -4.28515625, 'SVA': -4.02734375}"
A lot of waiters who didn't dislike Katherine press Pamela to nod.,G,distractor_agreement_relative_clause,SVA,"{'G': 2.16796875, 'PREP': -2.94140625, 'DET': -4.5, 'SVA': 3.580078125}"
These teachers breaks those bicycles.,SVA,regular_plural_subject_verb_agreement_1,SVA,"{'G': -0.8251953125, 'PREP': -2.1875, 'DET': -2.529296875, 'SVA': 6.05859375}"
The child wear those jackets.,SVA,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -1.2080078125, 'PREP': -1.78515625, 'DET': -2.3671875, 'SVA': 6.10546875}"
The Lutherans can exit those big oasis.,DET,determiner_noun_agreement_with_adj_irregular_1,DET,"{'G': -2.390625, 'PREP': -1.2451171875, 'DET': 8.5234375, 'SVA': -1.4326171875}"
"Firstly, the most suitable month would be July because I am very busy with my work now, and my children are on holiday then.",G,Preposition_Replacing,PREP,"{'G': 2.568359375, 'PREP': 3.419921875, 'DET': -4.484375, 'SVA': -4.03515625}"
The plays about literature aren't confusing a cashier.,G,distractor_agreement_relational_noun,G,"{'G': 5.16796875, 'PREP': -2.283203125, 'DET': -4.58984375, 'SVA': -2.291015625}"
Emily hasn't exited these grocery store.,DET,determiner_noun_agreement_1,DET,"{'G': -2.3984375, 'PREP': -1.453125, 'DET': 8.4921875, 'SVA': -1.1796875}"
First I can travel only in July because I will finish school at the end of June and I will sit my exam in September ; so I have to revise it a lot during the month of August.,PREP,Preposition_Missing,PREP,"{'G': 2.634765625, 'PREP': 3.390625, 'DET': -4.62109375, 'SVA': -4.00390625}"
"Furthermore, as mathematics is the main lesson in the morning, we ought to film at a time when we are in the maths class.",G,Preposition_Missing,PREP,"{'G': 2.443359375, 'PREP': 3.5, 'DET': -4.4609375, 'SVA': -3.96484375}"
There weren't many pies alarming Theodore.,G,existential_there_quantifiers_1,G,"{'G': 5.0625, 'PREP': -2.458984375, 'DET': -4.36328125, 'SVA': -2.1015625}"
Elaine could appreciate these medium.,DET,determiner_noun_agreement_irregular_1,DET,"{'G': -2.68359375, 'PREP': -0.93212890625, 'DET': 8.5078125, 'SVA': -1.3076171875}"
Alexander was running around these popular museum.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.455078125, 'PREP': -1.240234375, 'DET': 8.53125, 'SVA': -1.353515625}"
Jacqueline can't scan these essays.,G,determiner_noun_agreement_1,G,"{'G': 5.15625, 'PREP': -2.291015625, 'DET': -4.3828125, 'SVA': -2.466796875}"
Only universities ever approved.,G,only_npi_licensor_present,G,"{'G': 5.09375, 'PREP': -2.36328125, 'DET': -4.23046875, 'SVA': -2.39453125}"
Some granddaughter of Angela wasn't soon to investigate who returned to some person.,G,tough_vs_raising_2,G,"{'G': 5.04296875, 'PREP': -2.4921875, 'DET': -4.63671875, 'SVA': -1.798828125}"
Could Monica ever laugh?,G,matrix_question_npi_licensor_present,G,"{'G': 5.05078125, 'PREP': -2.333984375, 'DET': -3.9296875, 'SVA': -2.595703125}"
Every waitress who complains about some reports resemble prints.,SVA,distractor_agreement_relative_clause,SVA,"{'G': -0.7294921875, 'PREP': -2.03515625, 'DET': -2.837890625, 'SVA': 6.0859375}"
Ella is appreciated by some alumni.,G,animate_subject_passive,G,"{'G': 5.1640625, 'PREP': -2.23828125, 'DET': -4.57421875, 'SVA': -2.36328125}"
Most students in our class are studying Fashion full - time.,G,Preposition_Unnecessary,PREP,"{'G': 2.580078125, 'PREP': 3.34375, 'DET': -4.19140625, 'SVA': -4.21484375}"
The women have laughed.,G,irregular_plural_subject_verb_agreement_2,G,"{'G': 5.125, 'PREP': -2.37890625, 'DET': -4.4765625, 'SVA': -2.1875}"
The driver scans many commentaries.,G,regular_plural_subject_verb_agreement_2,G,"{'G': 5.0390625, 'PREP': -2.541015625, 'DET': -4.5, 'SVA': -1.8681640625}"
The pamphlets about art don't irritate Alice.,G,distractor_agreement_relational_noun,G,"{'G': 5.09765625, 'PREP': -2.47265625, 'DET': -4.65625, 'SVA': -1.908203125}"
You advertised for my perfect evening out.,PREP,Preposition_Unnecessary,G,"{'G': 3.46484375, 'PREP': 2.197265625, 'DET': -4.23828125, 'SVA': -4.49609375}"
Paula was listening to those drivers.,G,determiner_noun_agreement_1,G,"{'G': 5.203125, 'PREP': -2.265625, 'DET': -4.66796875, 'SVA': -2.333984375}"
So I am quite confident at this.,G,Preposition_Replacing,PREP,"{'G': 2.4140625, 'PREP': 3.51171875, 'DET': -4.22265625, 'SVA': -4.1015625}"
"I felt like a fool, and all the audience felt like I did.",PREP,Preposition_Replacing,G,"{'G': 4.84375, 'PREP': -0.56201171875, 'DET': -5.0078125, 'SVA': -3.296875}"
Todd is bothering many drivers and these cashiers weren't bothering few displeased drivers.,G,ellipsis_n_bar_2,G,"{'G': 5.1015625, 'PREP': -2.4765625, 'DET': -4.51953125, 'SVA': -2.03515625}"
"Now, I am writing to you to ask for some details about these two weeks at Camp California and to give you some answers to your questions.",G,Preposition_Missing,PREP,"{'G': 2.732421875, 'PREP': 3.30078125, 'DET': -4.5859375, 'SVA': -4.09375}"
These stories about Winston Churchill weren't tough to disagree with.,G,tough_vs_raising_1,G,"{'G': 5.1484375, 'PREP': -2.3046875, 'DET': -4.51171875, 'SVA': -2.294921875}"
"On behalf of all the students, I thank you for organizing our trip to London and for the really interesting programme you propose for us as well.",G,Preposition_Replacing,PREP,"{'G': 2.51171875, 'PREP': 3.451171875, 'DET': -4.5234375, 'SVA': -3.966796875}"
Linda broke those hard couch.,DET,determiner_noun_agreement_with_adj_2,DET,"{'G': -2.693359375, 'PREP': -1.0390625, 'DET': 8.53125, 'SVA': -1.1826171875}"
The senators cures Denise.,SVA,regular_plural_subject_verb_agreement_2,SVA,"{'G': -0.284423828125, 'PREP': -2.435546875, 'DET': -2.97265625, 'SVA': 5.93359375}"
"As you asked in the letter, I would like to travel only on July because I work at the central library and I'm also having English classes, so I will just have holidays in July.",PREP,Preposition_Replacing,PREP,"{'G': 2.61328125, 'PREP': 3.39453125, 'DET': -4.55078125, 'SVA': -4.03125}"
The sister of all cashiers force Andrea's best friend to cry.,SVA,distractor_agreement_relational_noun,G,"{'G': 5.140625, 'PREP': -2.37890625, 'DET': -4.64453125, 'SVA': -2.1015625}"
The person bores Kevin.,SVA,irregular_plural_subject_verb_agreement_2,G,"{'G': 5.0859375, 'PREP': -2.37890625, 'DET': -4.87109375, 'SVA': -1.798828125}"
I attended your festival and I would like to give you my suggestions for it.,G,Preposition_Replacing,PREP,"{'G': 2.5703125, 'PREP': 3.390625, 'DET': -4.28125, 'SVA': -4.1796875}"
These people upset these bad company.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.517578125, 'PREP': -0.9443359375, 'DET': 8.5, 'SVA': -1.578125}"
The teenagers explain that they aren't breaking all glasses.,G,principle_A_case_1,G,"{'G': 5.11328125, 'PREP': -2.216796875, 'DET': -4.30078125, 'SVA': -2.53125}"
A pamphlet about the Lutherans do alarm Nicole.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -1.125, 'PREP': -1.9638671875, 'DET': -2.2578125, 'SVA': 6.12890625}"
Sara hasn't bored this displeased senators.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.3515625, 'PREP': -1.2216796875, 'DET': 8.5078125, 'SVA': -1.529296875}"
All rivers were distracting those standing men.,G,determiner_noun_agreement_with_adj_irregular_2,G,"{'G': 5.1796875, 'PREP': -2.333984375, 'DET': -4.5625, 'SVA': -2.291015625}"
Galileo shouldn't lift these movie theaters.,G,determiner_noun_agreement_2,G,"{'G': 5.16796875, 'PREP': -2.310546875, 'DET': -4.63671875, 'SVA': -2.251953125}"
Those committees fire these concealed men.,G,determiner_noun_agreement_with_adj_irregular_1,G,"{'G': 5.21875, 'PREP': -2.23828125, 'DET': -4.73828125, 'SVA': -2.328125}"
All day I speak with the majority of my colleagues by telephone or e - mail.,G,Preposition_Unnecessary,PREP,"{'G': 2.5859375, 'PREP': 3.4296875, 'DET': -4.546875, 'SVA': -4.0234375}"
Candice return to Eva.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 5.16796875, 'PREP': -2.177734375, 'DET': -4.453125, 'SVA': -2.509765625}"
A lot of pictures weren't researched by some men.,G,animate_subject_passive,G,"{'G': 5.1171875, 'PREP': -2.35546875, 'DET': -4.33984375, 'SVA': -2.328125}"
