text,labels,UID,prediction,Probabilities
Lori hasn't exited that grocery stores.,DET,determiner_noun_agreement_1,DET,"{'G': -2.451171875, 'PREP': -2.76171875, 'DET': 11.1328125, 'SVA': -1.8359375}"
Every axis hasn't looked like most prints.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 7.2421875, 'PREP': -2.32421875, 'DET': -5.46484375, 'SVA': -3.16796875}"
These hypotheses embarrass Dennis.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 6.6328125, 'PREP': -2.857421875, 'DET': -5.15625, 'SVA': -1.625}"
Clyde had that exposed axes.,DET,determiner_noun_agreement_with_adj_irregular_2,DET,"{'G': -2.822265625, 'PREP': -2.40234375, 'DET': 11.125, 'SVA': -1.806640625}"
"We are really satisfied with the sightseeing by bus, and in going to the National Gallery, but the whole class would like to go to The London Fashion Show and it will be free.",PREP,Preposition_Replacing,PREP,"{'G': 1.7958984375, 'PREP': 5.4921875, 'DET': -6.49609375, 'SVA': -5.6484375}"
Most customers have gone to those oasis.,DET,determiner_noun_agreement_irregular_2,DET,"{'G': -2.568359375, 'PREP': -2.76171875, 'DET': 11.1875, 'SVA': -1.6943359375}"
Some lakes confused this unlucky woman.,G,determiner_noun_agreement_with_adj_irregular_1,G,"{'G': 7.1015625, 'PREP': -2.630859375, 'DET': -5.03125, 'SVA': -2.81640625}"
The drivers hadn't returned to themselves.,G,anaphor_number_agreement,G,"{'G': 7.21875, 'PREP': -2.400390625, 'DET': -5.19140625, 'SVA': -3.236328125}"
I was going to markets and to schools and I was giving out information about when and where the group was going to appear as well as where people could buy or book a ticket for this concert.,G,Preposition_Missing,PREP,"{'G': 2.431640625, 'PREP': 4.90625, 'DET': -6.72265625, 'SVA': -5.6640625}"
Joel approaches this actresses.,DET,determiner_noun_agreement_2,DET,"{'G': -2.66796875, 'PREP': -2.63671875, 'DET': 11.203125, 'SVA': -1.767578125}"
"So, I think July is the best time to go to the Camp.",G,Preposition_Replacing,G,"{'G': 5.828125, 'PREP': 0.5107421875, 'DET': -6.73828125, 'SVA': -4.17578125}"
The pictures of Martha doesn't disgust Anne.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -2.1015625, 'PREP': -3.107421875, 'DET': -1.98046875, 'SVA': 9.3359375}"
The women has read.,SVA,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -2.166015625, 'PREP': -3.212890625, 'DET': -1.6962890625, 'SVA': 9.390625}"
"So would you please reschedule the visit to the Science Museum for Wednesday afternoon, and we can cancel our shopping and free time, so we can go to the fashion show on Tuesday.",G,Preposition_Replacing,G,"{'G': 4.4921875, 'PREP': 1.83203125, 'DET': -6.484375, 'SVA': -4.375}"
Analyses persuades this cousin of Brad to exercise.,SVA,irregular_plural_subject_verb_agreement_1,SVA,"{'G': 0.0089874267578125, 'PREP': -3.08203125, 'DET': -4.12109375, 'SVA': 7.98828125}"
A person hadn't boasted about that waiters.,DET,determiner_noun_agreement_2,DET,"{'G': -2.3203125, 'PREP': -2.884765625, 'DET': 11.1015625, 'SVA': -1.810546875}"
Aaron could think about these medium.,DET,determiner_noun_agreement_irregular_1,DET,"{'G': -2.568359375, 'PREP': -2.771484375, 'DET': 11.1640625, 'SVA': -1.66796875}"
The cousin of a lot of customers have cooked.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -2.35546875, 'PREP': -3.037109375, 'DET': -1.6943359375, 'SVA': 9.390625}"
Anne was investigated.,G,passive_2,G,"{'G': 7.16796875, 'PREP': -2.544921875, 'DET': -5.05078125, 'SVA': -3.02734375}"
Ella does bike to that big college campuses.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.572265625, 'PREP': -2.560546875, 'DET': 11.0703125, 'SVA': -1.912109375}"
"About the activities that I have to choose, I have to say that it is quite difficult for me because I really like sports, but I think the best option is swimming because I have been doing it for 5 years so I want to keep at it.",G,Preposition_Replacing,G,"{'G': 4.55078125, 'PREP': 1.884765625, 'DET': -6.58984375, 'SVA': -4.43359375}"
Rachel hasn't forgotten about herself climbing down many stairs.,G,principle_A_case_2,G,"{'G': 7.2578125, 'PREP': -2.275390625, 'DET': -5.4453125, 'SVA': -3.28125}"
These oases are hard to arrive at.,G,tough_vs_raising_1,G,"{'G': 7.234375, 'PREP': -2.33984375, 'DET': -5.375, 'SVA': -3.185546875}"
The hidden jacket wasn't gray.,G,irregular_past_participle_adjectives,G,"{'G': 7.203125, 'PREP': -2.439453125, 'DET': -5.11328125, 'SVA': -3.21484375}"
Wayne appreciated these boy.,DET,determiner_noun_agreement_2,DET,"{'G': -2.626953125, 'PREP': -2.751953125, 'DET': 11.1796875, 'SVA': -1.625}"
The grandfathers of Diana drinks.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -2.1484375, 'PREP': -3.14453125, 'DET': -1.8388671875, 'SVA': 9.375}"
"In my opinion, in a hundred of years we'll wear the same kind of clothes that we wear nowadays.",PREP,Preposition_Unnecessary,G,"{'G': 4.18359375, 'PREP': 2.3359375, 'DET': -6.55078125, 'SVA': -4.6171875}"
Becky fixes that small feet.,DET,determiner_noun_agreement_with_adj_irregular_1,DET,"{'G': -2.748046875, 'PREP': -2.4921875, 'DET': 11.1015625, 'SVA': -1.76953125}"
The child has most pictures.,G,irregular_plural_subject_verb_agreement_2,G,"{'G': 7.24609375, 'PREP': -2.25, 'DET': -5.65234375, 'SVA': -3.09375}"
The child are hunting.,SVA,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -2.392578125, 'PREP': -3.16796875, 'DET': -1.4560546875, 'SVA': 9.453125}"
There were few glaciers stunning Benjamin.,G,existential_there_quantifiers_1,G,"{'G': 7.12109375, 'PREP': -2.560546875, 'DET': -5.1640625, 'SVA': -2.828125}"
This person hadn't healed these lucky dancers.,G,determiner_noun_agreement_with_adjective_1,G,"{'G': 7.21875, 'PREP': -2.41015625, 'DET': -5.171875, 'SVA': -3.240234375}"
Christine wouldn't conceal this lost stimulus.,G,determiner_noun_agreement_with_adj_irregular_2,G,"{'G': 7.203125, 'PREP': -2.451171875, 'DET': -4.98046875, 'SVA': -3.291015625}"
This committee isn't describing this good pamphlet.,G,determiner_noun_agreement_with_adjective_1,G,"{'G': 7.25, 'PREP': -2.333984375, 'DET': -5.3046875, 'SVA': -3.283203125}"
Rebecca leaves that standing waiters.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.765625, 'PREP': -2.439453125, 'DET': 11.0703125, 'SVA': -1.787109375}"
All lakes don't astound those legislatures.,G,determiner_noun_agreement_1,G,"{'G': 7.20703125, 'PREP': -2.4140625, 'DET': -5.3046875, 'SVA': -3.099609375}"
A doctor hasn't cleaned these bad mall.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.517578125, 'PREP': -2.765625, 'DET': 11.1640625, 'SVA': -1.7490234375}"
Only a lamp ever brightened.,G,only_npi_licensor_present,G,"{'G': 7.21875, 'PREP': -2.404296875, 'DET': -5.16796875, 'SVA': -3.2578125}"
A lot of nieces of a child aren't difficult to respect.,G,tough_vs_raising_1,G,"{'G': 7.2265625, 'PREP': -2.177734375, 'DET': -5.74609375, 'SVA': -3.13671875}"
A university that criticized those guests do discuss Denise.,SVA,distractor_agreement_relative_clause,SVA,"{'G': -2.349609375, 'PREP': -3.08984375, 'DET': -1.630859375, 'SVA': 9.4140625}"
Judy can't conceal that popular stories.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.4921875, 'PREP': -2.69921875, 'DET': 11.125, 'SVA': -1.8662109375}"
Colleen wasn't returning to these woman.,DET,determiner_noun_agreement_irregular_2,DET,"{'G': -2.470703125, 'PREP': -2.87890625, 'DET': 11.171875, 'SVA': -1.650390625}"
Many glasses that did hurt David do look like most pictures.,G,distractor_agreement_relative_clause,G,"{'G': 7.20703125, 'PREP': -2.380859375, 'DET': -5.45703125, 'SVA': -3.017578125}"
Many dancers can question some people that Gina argued about that see an eye.,G,wh_questions_subject_gap_long_distance,G,"{'G': 7.19921875, 'PREP': -2.33203125, 'DET': -5.5625, 'SVA': -3.01171875}"
Some committees that worry Kendra dislikes a lot of women.,SVA,distractor_agreement_relative_clause,SVA,"{'G': -2.126953125, 'PREP': -3.177734375, 'DET': -1.8349609375, 'SVA': 9.3671875}"
What men was this window confusing and Mary watching?,G,coordinate_structure_constraint_complex_left_branch,G,"{'G': 7.203125, 'PREP': -2.38671875, 'DET': -5.3046875, 'SVA': -3.126953125}"
An actor is disgusting that unsure men.,DET,determiner_noun_agreement_with_adj_irregular_2,DET,"{'G': -2.701171875, 'PREP': -2.291015625, 'DET': 10.9375, 'SVA': -2.013671875}"
The child were observing Wendy.,SVA,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -2.298828125, 'PREP': -3.177734375, 'DET': -1.599609375, 'SVA': 9.4375}"
Connie can't notice these theses.,G,determiner_noun_agreement_irregular_1,G,"{'G': 7.2109375, 'PREP': -2.451171875, 'DET': -5.07421875, 'SVA': -3.20703125}"
The feet vanish.,G,irregular_plural_subject_verb_agreement_2,G,"{'G': 7.046875, 'PREP': -2.689453125, 'DET': -5.07421875, 'SVA': -2.62890625}"
"As if that wasn't enough, after the show, I took the risk of going to your restaurant and it is not very hard to guess that I wasn't able to enjoy it, as it was closed because it wasn't clean enough to serve food ; the perfect ending for the perfect evening.",PREP,Preposition_Replacing,G,"{'G': 4.9453125, 'PREP': 1.5107421875, 'DET': -6.67578125, 'SVA': -4.41015625}"
A cashier does drive to that oasis.,G,determiner_noun_agreement_irregular_2,G,"{'G': 7.21875, 'PREP': -2.427734375, 'DET': -5.27734375, 'SVA': -3.10546875}"
Lori wasn't hiring that delighted men.,DET,determiner_noun_agreement_with_adj_irregular_2,DET,"{'G': -2.48046875, 'PREP': -2.734375, 'DET': 11.1328125, 'SVA': -1.8232421875}"
"Firstly, Palace Hotel has been booked for the group's accommodation and I spoke with the hotel manager about travelling to the conference.",G,Preposition_Unnecessary,G,"{'G': 5.1953125, 'PREP': 1.287109375, 'DET': -6.71484375, 'SVA': -4.37890625}"
The pedestrians discusses Rebecca.,SVA,regular_plural_subject_verb_agreement_2,SVA,"{'G': -2.169921875, 'PREP': -3.171875, 'DET': -1.765625, 'SVA': 9.3828125}"
High schools stun this men.,DET,determiner_noun_agreement_irregular_2,DET,"{'G': -2.376953125, 'PREP': -2.8984375, 'DET': 11.140625, 'SVA': -1.7451171875}"
Rodney questions most children that Lawrence was praising.,G,wh_questions_object_gap,G,"{'G': 7.2265625, 'PREP': -2.3984375, 'DET': -5.3359375, 'SVA': -3.095703125}"
"Sometimes when we go shopping with someone who is not good company, we don't have a great time, or when we know what we want to buy, but when we get to the store they don't have what we want, in that instance we need to shop also when is an important day like Father's day or Christmas everywhere we want to go and buy something it is very crowded so we can't find what we are looking for with calmly because everybody is pushing you in the other direction to the one you want",PREP,Preposition_Unnecessary,PREP,"{'G': 2.150390625, 'PREP': 5.234375, 'DET': -6.6953125, 'SVA': -5.7109375}"
I am writing to you because there were deviations from the advertisement which was published in the newspaper.,G,Preposition_Replacing,G,"{'G': 6.0546875, 'PREP': 0.3037109375, 'DET': -6.72265625, 'SVA': -4.171875}"
The library has these lice.,G,determiner_noun_agreement_irregular_2,G,"{'G': 7.2109375, 'PREP': -2.412109375, 'DET': -5.2421875, 'SVA': -3.173828125}"
The customers who respected Angela dislikes Deanna.,SVA,distractor_agreement_relative_clause,SVA,"{'G': -2.169921875, 'PREP': -3.125, 'DET': -1.8525390625, 'SVA': 9.375}"
The worn sweaters are black.,G,irregular_past_participle_adjectives,G,"{'G': 7.1640625, 'PREP': -2.52734375, 'DET': -5.16015625, 'SVA': -2.95703125}"
Marie cares for that nice children.,DET,determiner_noun_agreement_with_adj_irregular_1,DET,"{'G': -2.716796875, 'PREP': -2.525390625, 'DET': 11.140625, 'SVA': -1.787109375}"
"However, we have seen an advertisement on an English magazine for the London Fashion and Leisure Show.",PREP,Preposition_Replacing,PREP,"{'G': 1.8935546875, 'PREP': 5.4453125, 'DET': -6.5078125, 'SVA': -5.73046875}"
The alumnus hides all books.,G,irregular_plural_subject_verb_agreement_2,G,"{'G': 7.1328125, 'PREP': -2.546875, 'DET': -5.32421875, 'SVA': -2.734375}"
Most students have forgotten who the committees that have worried a lot of teachers concealed.,G,wh_vs_that_with_gap_long_distance,G,"{'G': 7.21875, 'PREP': -2.373046875, 'DET': -5.35546875, 'SVA': -3.130859375}"
Monet doesn't conceal that child.,G,determiner_noun_agreement_irregular_1,G,"{'G': 7.20703125, 'PREP': -2.462890625, 'DET': -5.08203125, 'SVA': -3.189453125}"
A mother of many teenagers haven't tempted Frank to get a job.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -2.041015625, 'PREP': -3.1171875, 'DET': -2.037109375, 'SVA': 9.3359375}"
Then we thought about going swimming to talk about some things.,G,Preposition_Unnecessary,G,"{'G': 5.02734375, 'PREP': 1.28515625, 'DET': -6.55859375, 'SVA': -4.2109375}"
The paintings of Judy aren't hurting Dawn.,G,distractor_agreement_relational_noun,G,"{'G': 7.125, 'PREP': -2.59765625, 'DET': -5.06640625, 'SVA': -2.876953125}"
Catherine was researching these crises.,G,determiner_noun_agreement_irregular_1,G,"{'G': 7.16015625, 'PREP': -2.546875, 'DET': -4.85546875, 'SVA': -3.181640625}"
Those oases was bothering Diane.,SVA,irregular_plural_subject_verb_agreement_1,SVA,"{'G': -2.01171875, 'PREP': -3.193359375, 'DET': -1.9580078125, 'SVA': 9.328125}"
Roger dislikes this man.,G,determiner_noun_agreement_irregular_2,G,"{'G': 7.1171875, 'PREP': -2.62890625, 'DET': -4.875, 'SVA': -2.966796875}"
Those pedestrians learn that that woman has fled from men.,G,wh_vs_that_no_gap,G,"{'G': 7.1953125, 'PREP': -2.4765625, 'DET': -5.109375, 'SVA': -3.1171875}"
Jodi had revealed those brown snake.,DET,determiner_noun_agreement_with_adj_2,DET,"{'G': -2.6484375, 'PREP': -2.71875, 'DET': 11.1640625, 'SVA': -1.59765625}"
The man have researched some essay.,SVA,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -2.193359375, 'PREP': -3.166015625, 'DET': -1.7705078125, 'SVA': 9.3984375}"
I have always been interested in arts and festivals.,G,Preposition_Missing,G,"{'G': 5.06640625, 'PREP': 1.2900390625, 'DET': -6.6328125, 'SVA': -4.28125}"
The driver hasn't stood up.,G,regular_plural_subject_verb_agreement_2,G,"{'G': 7.21484375, 'PREP': -2.4296875, 'DET': -5.19140625, 'SVA': -3.166015625}"
No student is describing fewer than six schools.,G,superlative_quantifiers_1,G,"{'G': 7.23828125, 'PREP': -2.255859375, 'DET': -5.3125, 'SVA': -3.400390625}"
Students escape from these hidden banks.,G,determiner_noun_agreement_with_adj_2,G,"{'G': 7.15234375, 'PREP': -2.53125, 'DET': -4.90234375, 'SVA': -3.19140625}"
The reason for this is that I have difficulty in sleeping in tents.,PREP,Preposition_Unnecessary,G,"{'G': 4.94140625, 'PREP': 1.4755859375, 'DET': -6.58203125, 'SVA': -4.39453125}"
Thomas has concealed one lucky handyman and Grace has concealed some.,G,ellipsis_n_bar_1,G,"{'G': 7.2578125, 'PREP': -2.287109375, 'DET': -5.4609375, 'SVA': -3.232421875}"
Sara wasn't arguing about that happy adults.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.3671875, 'PREP': -2.7734375, 'DET': 11.1015625, 'SVA': -1.9091796875}"
An ellipsis haven't confused that government.,SVA,irregular_plural_subject_verb_agreement_1,SVA,"{'G': -1.939453125, 'PREP': -3.16015625, 'DET': -2.109375, 'SVA': 9.296875}"
The child haven't whispered.,SVA,regular_plural_subject_verb_agreement_2,SVA,"{'G': -2.34765625, 'PREP': -3.15625, 'DET': -1.552734375, 'SVA': 9.4453125}"
"I am good in those two activities, because I go to the sea every weekend.",PREP,Preposition_Replacing,PREP,"{'G': 1.2666015625, 'PREP': 5.69921875, 'DET': -5.94921875, 'SVA': -5.5}"
A lot of waiters who didn't dislike Katherine press Pamela to nod.,G,distractor_agreement_relative_clause,G,"{'G': 7.1796875, 'PREP': -2.447265625, 'DET': -5.49609375, 'SVA': -2.80859375}"
These teachers breaks those bicycles.,SVA,regular_plural_subject_verb_agreement_1,SVA,"{'G': -1.9345703125, 'PREP': -3.197265625, 'DET': -2.056640625, 'SVA': 9.3046875}"
The child wear those jackets.,SVA,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -2.3515625, 'PREP': -3.12890625, 'DET': -1.5908203125, 'SVA': 9.4375}"
The Lutherans can exit those big oasis.,DET,determiner_noun_agreement_with_adj_irregular_1,DET,"{'G': -2.67578125, 'PREP': -2.7890625, 'DET': 11.234375, 'SVA': -1.51171875}"
"Firstly, the most suitable month would be July because I am very busy with my work now, and my children are on holiday then.",G,Preposition_Replacing,G,"{'G': 5.625, 'PREP': 0.82861328125, 'DET': -6.76171875, 'SVA': -4.28125}"
The plays about literature aren't confusing a cashier.,G,distractor_agreement_relational_noun,G,"{'G': 7.2109375, 'PREP': -2.384765625, 'DET': -5.42578125, 'SVA': -3.03125}"
Emily hasn't exited these grocery store.,DET,determiner_noun_agreement_1,DET,"{'G': -2.587890625, 'PREP': -2.654296875, 'DET': 11.1796875, 'SVA': -1.81640625}"
First I can travel only in July because I will finish school at the end of June and I will sit my exam in September ; so I have to revise it a lot during the month of August.,PREP,Preposition_Missing,G,"{'G': 4.9296875, 'PREP': 1.31640625, 'DET': -6.578125, 'SVA': -4.125}"
"Furthermore, as mathematics is the main lesson in the morning, we ought to film at a time when we are in the maths class.",G,Preposition_Missing,PREP,"{'G': 2.0390625, 'PREP': 5.30859375, 'DET': -6.62890625, 'SVA': -5.68359375}"
There weren't many pies alarming Theodore.,G,existential_there_quantifiers_1,G,"{'G': 7.19921875, 'PREP': -2.373046875, 'DET': -5.3984375, 'SVA': -3.0859375}"
Elaine could appreciate these medium.,DET,determiner_noun_agreement_irregular_1,DET,"{'G': -2.498046875, 'PREP': -2.845703125, 'DET': 11.171875, 'SVA': -1.662109375}"
Alexander was running around these popular museum.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.60546875, 'PREP': -2.75, 'DET': 11.1953125, 'SVA': -1.66015625}"
Jacqueline can't scan these essays.,G,determiner_noun_agreement_1,G,"{'G': 7.2109375, 'PREP': -2.45703125, 'DET': -5.15234375, 'SVA': -3.138671875}"
Only universities ever approved.,G,only_npi_licensor_present,G,"{'G': 7.171875, 'PREP': -2.5078125, 'DET': -4.953125, 'SVA': -3.1953125}"
Some granddaughter of Angela wasn't soon to investigate who returned to some person.,G,tough_vs_raising_2,G,"{'G': 7.265625, 'PREP': -2.251953125, 'DET': -5.50390625, 'SVA': -3.27734375}"
Could Monica ever laugh?,G,matrix_question_npi_licensor_present,G,"{'G': 7.19921875, 'PREP': -2.4453125, 'DET': -5.15625, 'SVA': -3.1640625}"
Every waitress who complains about some reports resemble prints.,SVA,distractor_agreement_relative_clause,SVA,"{'G': -2.291015625, 'PREP': -3.09375, 'DET': -1.7275390625, 'SVA': 9.3984375}"
Ella is appreciated by some alumni.,G,animate_subject_passive,G,"{'G': 7.203125, 'PREP': -2.43359375, 'DET': -5.3515625, 'SVA': -3.00390625}"
Most students in our class are studying Fashion full - time.,G,Preposition_Unnecessary,G,"{'G': 5.34375, 'PREP': 1.0068359375, 'DET': -6.65625, 'SVA': -4.171875}"
The women have laughed.,G,irregular_plural_subject_verb_agreement_2,G,"{'G': 7.16796875, 'PREP': -2.51171875, 'DET': -5.20703125, 'SVA': -2.9609375}"
The driver scans many commentaries.,G,regular_plural_subject_verb_agreement_2,G,"{'G': 7.11328125, 'PREP': -2.482421875, 'DET': -5.51953125, 'SVA': -2.638671875}"
The pamphlets about art don't irritate Alice.,G,distractor_agreement_relational_noun,G,"{'G': 7.1328125, 'PREP': -2.5625, 'DET': -5.1875, 'SVA': -2.84375}"
You advertised for my perfect evening out.,PREP,Preposition_Unnecessary,G,"{'G': 4.5546875, 'PREP': 1.6748046875, 'DET': -6.49609375, 'SVA': -4.1796875}"
Paula was listening to those drivers.,G,determiner_noun_agreement_1,G,"{'G': 7.19921875, 'PREP': -2.484375, 'DET': -5.1171875, 'SVA': -3.103515625}"
So I am quite confident at this.,G,Preposition_Replacing,G,"{'G': 5.33203125, 'PREP': 1.17578125, 'DET': -6.64453125, 'SVA': -4.47265625}"
"I felt like a fool, and all the audience felt like I did.",PREP,Preposition_Replacing,G,"{'G': 6.30078125, 'PREP': -0.07666015625, 'DET': -6.6875, 'SVA': -4.07421875}"
Todd is bothering many drivers and these cashiers weren't bothering few displeased drivers.,G,ellipsis_n_bar_2,G,"{'G': 7.2109375, 'PREP': -2.41796875, 'DET': -5.33984375, 'SVA': -3.048828125}"
"Now, I am writing to you to ask for some details about these two weeks at Camp California and to give you some answers to your questions.",G,Preposition_Missing,G,"{'G': 5.328125, 'PREP': 1.16015625, 'DET': -6.7421875, 'SVA': -4.34765625}"
These stories about Winston Churchill weren't tough to disagree with.,G,tough_vs_raising_1,G,"{'G': 7.234375, 'PREP': -2.333984375, 'DET': -5.37890625, 'SVA': -3.205078125}"
"On behalf of all the students, I thank you for organizing our trip to London and for the really interesting programme you propose for us as well.",G,Preposition_Replacing,PREP,"{'G': 3.513671875, 'PREP': 3.623046875, 'DET': -6.859375, 'SVA': -5.3046875}"
Linda broke those hard couch.,DET,determiner_noun_agreement_with_adj_2,DET,"{'G': -2.798828125, 'PREP': -2.5, 'DET': 11.1171875, 'SVA': -1.6611328125}"
The senators cures Denise.,SVA,regular_plural_subject_verb_agreement_2,SVA,"{'G': -2.060546875, 'PREP': -3.15234375, 'DET': -1.9541015625, 'SVA': 9.3359375}"
"As you asked in the letter, I would like to travel only on July because I work at the central library and I'm also having English classes, so I will just have holidays in July.",PREP,Preposition_Replacing,PREP,"{'G': 0.08380126953125, 'PREP': 5.53515625, 'DET': -3.677734375, 'SVA': -5.171875}"
The sister of all cashiers force Andrea's best friend to cry.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -2.05078125, 'PREP': -3.12109375, 'DET': -2.01171875, 'SVA': 9.3359375}"
The person bores Kevin.,SVA,irregular_plural_subject_verb_agreement_2,G,"{'G': 6.98046875, 'PREP': -2.77734375, 'DET': -5.10546875, 'SVA': -2.3125}"
I attended your festival and I would like to give you my suggestions for it.,G,Preposition_Replacing,PREP,"{'G': 1.6171875, 'PREP': 5.56640625, 'DET': -6.3671875, 'SVA': -5.5546875}"
These people upset these bad company.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.833984375, 'PREP': -2.5546875, 'DET': 11.1875, 'SVA': -1.6015625}"
The teenagers explain that they aren't breaking all glasses.,G,principle_A_case_1,G,"{'G': 7.2265625, 'PREP': -2.384765625, 'DET': -5.27734375, 'SVA': -3.19140625}"
A pamphlet about the Lutherans do alarm Nicole.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -2.259765625, 'PREP': -3.126953125, 'DET': -1.720703125, 'SVA': 9.40625}"
Sara hasn't bored this displeased senators.,DET,determiner_noun_agreement_with_adjective_1,DET,"{'G': -2.478515625, 'PREP': -2.73046875, 'DET': 11.1328125, 'SVA': -1.83984375}"
All rivers were distracting those standing men.,G,determiner_noun_agreement_with_adj_irregular_2,G,"{'G': 7.171875, 'PREP': -2.517578125, 'DET': -5.05859375, 'SVA': -3.06640625}"
Galileo shouldn't lift these movie theaters.,G,determiner_noun_agreement_2,G,"{'G': 7.2109375, 'PREP': -2.44140625, 'DET': -5.1796875, 'SVA': -3.162109375}"
Those committees fire these concealed men.,G,determiner_noun_agreement_with_adj_irregular_1,G,"{'G': 7.0625, 'PREP': -2.7109375, 'DET': -4.796875, 'SVA': -2.80078125}"
All day I speak with the majority of my colleagues by telephone or e - mail.,G,Preposition_Unnecessary,G,"{'G': 5.28125, 'PREP': 1.1357421875, 'DET': -6.67578125, 'SVA': -4.27734375}"
Candice return to Eva.,SVA,regular_plural_subject_verb_agreement_1,SVA,"{'G': -2.119140625, 'PREP': -3.138671875, 'DET': -1.9013671875, 'SVA': 9.3671875}"
A lot of pictures weren't researched by some men.,G,animate_subject_passive,G,"{'G': 7.23828125, 'PREP': -2.27734375, 'DET': -5.35546875, 'SVA': -3.3203125}"
"Firstly, we got our tickets at your ticket office just one hour before the show.",G,Preposition_Replacing,G,"{'G': 4.3359375, 'PREP': 2.111328125, 'DET': -6.53125, 'SVA': -4.53125}"
